id,SCE,SCE_highest_unc,SCE_trend,SCE_closest_year,SCE_farthest_year,NSM,NSM_highest_unc,NSM_trend,EPR,EPR_unc,EPR_trend,LRR,LR2,LSE,LCI,WLR,WR2,WSE,WCI
1,36.16,1,accreting,2023,2022,-1.33,1,eroding,-0.09,0.1,eroding,0.51,0.08,7.1,1.09,0.51,0.08,7.1,1.09
2,25.38,1,accreting,2023,2022,3.22,1,accreting,0.22,0.1,accreting,-0.03,0,6.19,0.95,-0.03,0,6.19,0.95
3,24.11,1,accreting,2024,2018,14.45,1,accreting,1,0.1,accreting,-0.38,0.06,6.12,0.94,-0.38,0.06,6.12,0.94
4,43.2,1,accreting,2021,2011,-0.11,1,eroding,-0.01,0.1,eroding,-0.51,0.06,8.19,1.25,-0.51,0.06,8.19,1.25
5,36.91,1,accreting,2021,2011,-5.48,1,eroding,-0.38,0.1,eroding,-0.38,0.04,8.18,1.25,-0.38,0.04,8.18,1.25
6,39.38,1,accreting,2021,2011,-5.57,1,eroding,-0.38,0.1,eroding,-0.52,0.06,8.69,1.33,-0.52,0.06,8.69,1.33
7,39.03,1,accreting,2019,2011,-1.91,1,eroding,-0.13,0.1,eroding,-0.4,0.03,9,1.38,-0.4,0.03,9,1.38
8,40.18,1,accreting,2019,2011,-2.77,1,eroding,-0.19,0.1,eroding,-0.23,0.01,9.77,1.49,-0.23,0.01,9.77,1.49
9,45.26,1,accreting,2019,2022,-0.59,1,eroding,-0.04,0.1,eroding,-0.34,0.02,10.11,1.55,-0.34,0.02,10.11,1.55
10,51.55,1,accreting,2019,2022,-12.07,1,eroding,-0.83,0.1,eroding,-0.13,0,11.74,1.79,-0.13,0,11.74,1.79
11,55.81,1,accreting,2021,2022,-8.94,1,eroding,-0.62,0.1,eroding,-0.13,0,12.32,1.88,-0.13,0,12.32,1.88
12,62.22,1,accreting,2019,2022,-10.55,1,eroding,-0.73,0.1,eroding,-0.05,0,13.14,2.01,-0.05,0,13.14,2.01
13,58.45,1,accreting,2021,2022,-5.5,1,eroding,-0.38,0.1,eroding,-0.15,0,12.85,1.97,-0.15,0,12.85,1.97
14,57.97,1,accreting,2020,2022,-6.77,1,eroding,-0.47,0.1,eroding,-0.34,0.01,12.5,1.91,-0.34,0.01,12.5,1.91
15,65.02,1,accreting,2019,2022,-6.93,1,eroding,-0.48,0.1,eroding,-0.27,0.01,13.52,2.07,-0.27,0.01,13.52,2.07
16,61.92,1,accreting,2019,2022,-5.23,1,eroding,-0.36,0.1,eroding,-0.51,0.03,12.59,1.92,-0.51,0.03,12.59,1.92
17,65.65,1,accreting,2019,2011,-1.72,1,eroding,-0.12,0.1,eroding,-1.01,0.09,13.35,2.04,-1.01,0.09,13.35,2.04
18,60.3,1,accreting,2019,2011,-2.57,1,eroding,-0.18,0.1,eroding,-0.88,0.08,12.57,1.92,-0.88,0.08,12.57,1.92
19,51.18,1,accreting,2019,2011,-7.31,1,eroding,-0.5,0.1,eroding,-0.75,0.06,11.75,1.8,-0.75,0.06,11.75,1.8
20,48.33,1,accreting,2021,2011,-12.28,1,eroding,-0.85,0.1,eroding,-0.84,0.07,12.37,1.89,-0.84,0.07,12.37,1.89
21,46.53,1,accreting,2021,2011,-15.2,1,eroding,-1.05,0.1,eroding,-0.6,0.04,12.64,1.93,-0.6,0.04,12.64,1.93
22,43.42,1,accreting,2021,2022,-13.61,1,eroding,-0.94,0.1,eroding,-0.69,0.05,12.61,1.93,-0.69,0.05,12.61,1.93
23,41.51,1,accreting,2021,2017,-11.69,1,eroding,-0.81,0.1,eroding,-0.86,0.08,12.07,1.85,-0.86,0.08,12.07,1.85
24,42.1,1,accreting,2021,2017,-17.8,1,eroding,-1.23,0.1,eroding,-0.77,0.06,12.28,1.88,-0.77,0.06,12.28,1.88
25,43.43,1,accreting,2021,2017,-20.71,1,eroding,-1.43,0.1,eroding,-0.64,0.05,12.13,1.85,-0.64,0.05,12.13,1.85
26,39.77,1,accreting,2021,2011,-22.23,1,eroding,-1.53,0.1,eroding,-0.86,0.08,11.83,1.81,-0.86,0.08,11.83,1.81
27,37.09,1,accreting,2021,2011,-23.86,1,eroding,-1.64,0.1,eroding,-0.93,0.11,10.97,1.68,-0.93,0.11,10.97,1.68
28,35.17,1,accreting,2021,2022,-23.75,1,eroding,-1.64,0.1,eroding,-0.65,0.07,10.08,1.54,-0.65,0.07,10.08,1.54
29,39.65,1,accreting,2021,2017,-23.56,1,eroding,-1.62,0.1,eroding,-0.81,0.08,11.07,1.69,-0.81,0.08,11.07,1.69
30,41.03,1,accreting,2021,2010,-23.39,1,eroding,-1.61,0.1,eroding,-0.95,0.1,11.4,1.74,-0.95,0.1,11.4,1.74
31,45.29,1,accreting,2021,2010,-23.83,1,eroding,-1.64,0.1,eroding,-1.03,0.11,11.8,1.8,-1.03,0.11,11.8,1.8
32,43.17,1,accreting,2023,2011,-26.31,1,eroding,-1.81,0.1,eroding,-1.04,0.12,11.64,1.78,-1.04,0.12,11.64,1.78
33,44.47,1,accreting,2023,2017,-28.64,1,eroding,-1.97,0.1,eroding,-0.69,0.06,11.5,1.76,-0.69,0.06,11.5,1.76
34,45.65,1,accreting,2023,2017,-28.47,1,eroding,-1.96,0.1,eroding,-0.5,0.03,11.5,1.76,-0.5,0.03,11.5,1.76
35,43.02,1,accreting,2023,2017,-23.93,1,eroding,-1.65,0.1,eroding,-0.88,0.09,11.25,1.72,-0.88,0.09,11.25,1.72
36,39.12,1,accreting,2023,2017,-20.51,1,eroding,-1.41,0.1,eroding,-0.81,0.09,10.53,1.61,-0.81,0.09,10.53,1.61
37,37.28,1,accreting,2023,2017,-18.4,1,eroding,-1.27,0.1,eroding,-0.75,0.09,9.61,1.47,-0.75,0.09,9.61,1.47
38,36.74,1,accreting,2020,2017,-16.87,1,eroding,-1.16,0.1,eroding,-0.7,0.09,9.26,1.42,-0.7,0.09,9.26,1.42
39,35.49,1,accreting,2022,2017,-15.72,1,eroding,-1.08,0.1,eroding,-0.69,0.08,9.37,1.43,-0.69,0.08,9.37,1.43
40,35.8,1,accreting,2022,2017,-14.58,1,eroding,-1,0.1,eroding,-0.71,0.09,9.34,1.43,-0.71,0.09,9.34,1.43
41,36.13,1,accreting,2022,2017,-13.2,1,eroding,-0.91,0.1,eroding,-0.86,0.14,8.66,1.32,-0.86,0.14,8.66,1.32
42,34.73,1,accreting,2020,2017,-13.83,1,eroding,-0.95,0.1,eroding,-0.81,0.13,8.62,1.32,-0.81,0.13,8.62,1.32
43,32.71,1,accreting,2020,2017,-15.12,1,eroding,-1.04,0.1,eroding,-0.61,0.08,8.21,1.26,-0.61,0.08,8.21,1.26
44,34.02,1,accreting,2020,2017,-15.52,1,eroding,-1.07,0.1,eroding,-0.56,0.08,7.95,1.22,-0.56,0.08,7.95,1.22
45,35.32,1,accreting,2020,2017,-12.12,1,eroding,-0.83,0.1,eroding,-0.68,0.11,7.86,1.2,-0.68,0.11,7.86,1.2
46,37.17,1,accreting,2020,2017,-8.81,1,eroding,-0.61,0.1,eroding,-0.69,0.11,8.15,1.25,-0.69,0.11,8.15,1.25
47,39.97,1,accreting,2020,2017,-8.36,1,eroding,-0.58,0.1,eroding,-0.67,0.09,8.5,1.3,-0.67,0.09,8.5,1.3
48,41.36,1,accreting,2020,2017,-7.55,1,eroding,-0.52,0.1,eroding,-0.72,0.11,8.61,1.32,-0.72,0.11,8.61,1.32
49,40.45,1,accreting,2020,2017,-2.05,1,eroding,-0.14,0.1,eroding,-0.8,0.12,8.98,1.37,-0.8,0.12,8.98,1.37
50,36.69,1,accreting,2020,2017,-4.28,1,eroding,-0.29,0.1,eroding,-0.66,0.1,8.12,1.24,-0.66,0.1,8.12,1.24
51,34.04,1,accreting,2020,2016,-8.06,1,eroding,-0.56,0.1,eroding,-0.46,0.05,8.17,1.25,-0.46,0.05,8.17,1.25
52,30.73,1,accreting,2020,2017,-11.09,1,eroding,-0.76,0.1,eroding,-0.41,0.04,8.59,1.31,-0.41,0.04,8.59,1.31
53,32.11,1,accreting,2010,2018,-11.26,1,eroding,-0.78,0.1,eroding,-0.42,0.04,8.91,1.36,-0.42,0.04,8.91,1.36
54,31.19,1,accreting,2021,2016,-12.08,1,eroding,-0.83,0.1,eroding,-0.43,0.04,8.3,1.27,-0.43,0.04,8.3,1.27
55,28.58,1,accreting,2021,2016,-14.6,1,eroding,-1.01,0.1,eroding,-0.47,0.06,7.63,1.17,-0.47,0.06,7.63,1.17
56,26.61,1,accreting,2021,2016,-12.81,1,eroding,-0.88,0.1,eroding,-0.57,0.1,6.96,1.06,-0.57,0.1,6.96,1.06
57,31.42,1,accreting,2021,2016,-10.86,1,eroding,-0.75,0.1,eroding,-0.58,0.1,7.06,1.08,-0.58,0.1,7.06,1.08
58,28.29,1,accreting,2021,2016,-8.33,1,eroding,-0.57,0.1,eroding,-0.49,0.08,7.01,1.07,-0.49,0.08,7.01,1.07
59,31.11,1,accreting,2021,2016,-5.42,1,eroding,-0.37,0.1,eroding,-0.67,0.13,7,1.07,-0.67,0.13,7,1.07
60,34.22,1,accreting,2021,2016,-4.69,1,eroding,-0.32,0.1,eroding,-0.72,0.14,7.4,1.13,-0.72,0.14,7.4,1.13
61,31.13,1,accreting,2021,2017,-6.12,1,eroding,-0.42,0.1,eroding,-0.6,0.11,7.17,1.1,-0.6,0.11,7.17,1.1
62,30.22,1,accreting,2021,2017,-8.05,1,eroding,-0.55,0.1,eroding,-0.54,0.1,6.58,1.01,-0.54,0.1,6.58,1.01
63,24.27,1,accreting,2021,2016,-9.25,1,eroding,-0.64,0.1,eroding,-0.66,0.16,6.14,0.94,-0.66,0.16,6.14,0.94
64,29.6,1,accreting,2023,2016,-10.73,1,eroding,-0.74,0.1,eroding,-0.64,0.13,6.94,1.06,-0.64,0.13,6.94,1.06
65,35.17,1,accreting,2023,2017,-11.22,1,eroding,-0.77,0.1,eroding,-0.75,0.14,7.69,1.18,-0.75,0.14,7.69,1.18
66,32.49,1,accreting,2023,2011,-12.35,1,eroding,-0.85,0.1,eroding,-0.85,0.17,7.67,1.17,-0.85,0.17,7.67,1.17
67,34.29,1,accreting,2023,2010,-13.31,1,eroding,-0.92,0.1,eroding,-0.87,0.17,7.97,1.22,-0.87,0.17,7.97,1.22
68,37.19,1,accreting,2023,2010,-15.56,1,eroding,-1.07,0.1,eroding,-0.89,0.15,8.54,1.31,-0.89,0.15,8.54,1.31
69,42.46,1,accreting,2023,2017,-17.51,1,eroding,-1.21,0.1,eroding,-0.78,0.1,9.81,1.5,-0.78,0.1,9.81,1.5
70,39.55,1,accreting,2023,2017,-15.87,1,eroding,-1.09,0.1,eroding,-0.84,0.12,9.13,1.4,-0.84,0.12,9.13,1.4
71,42.07,1,accreting,2023,2017,-13.51,1,eroding,-0.93,0.1,eroding,-0.66,0.08,9.33,1.43,-0.66,0.08,9.33,1.43
72,42.26,1,accreting,2023,2017,-9.09,1,eroding,-0.63,0.1,eroding,-0.54,0.05,9.41,1.44,-0.54,0.05,9.41,1.44
73,38.35,1,accreting,2023,2016,-9.46,1,eroding,-0.65,0.1,eroding,-0.4,0.03,9.47,1.45,-0.4,0.03,9.47,1.45
74,50.73,1,accreting,2023,2017,-13.1,1,eroding,-0.9,0.1,eroding,-0.33,0.01,11.29,1.73,-0.33,0.01,11.29,1.73
75,47.5,1,accreting,2023,2018,-15.56,1,eroding,-1.07,0.1,eroding,-0.3,0.01,11.48,1.75,-0.3,0.01,11.48,1.75
76,56.14,1,accreting,2023,2017,-20.33,1,eroding,-1.4,0.1,eroding,-0.14,0,12.33,1.88,-0.14,0,12.33,1.88
77,56.74,1,accreting,2023,2017,-23.61,1,eroding,-1.63,0.1,eroding,-0.1,0,12.61,1.93,-0.1,0,12.61,1.93
78,53.55,1,accreting,2023,2011,-24.23,1,eroding,-1.67,0.1,eroding,-0.25,0.01,12.88,1.97,-0.25,0.01,12.88,1.97
79,58.77,1,accreting,2023,2017,-23.55,1,eroding,-1.62,0.1,eroding,-0.35,0.01,13.95,2.13,-0.35,0.01,13.95,2.13
80,51.28,1,accreting,2023,2017,-23.77,1,eroding,-1.64,0.1,eroding,-0.22,0,13.04,1.99,-0.22,0,13.04,1.99
81,49.92,1,accreting,2023,2011,-24.47,1,eroding,-1.69,0.1,eroding,-0.08,0,13.21,2.02,-0.08,0,13.21,2.02
82,59.28,1,accreting,2023,2018,-25.99,1,eroding,-1.79,0.1,eroding,0.15,0,14.45,2.21,0.15,0,14.45,2.21
83,63.2,1,accreting,2023,2018,-26.92,1,eroding,-1.86,0.1,eroding,0.34,0.01,14.65,2.24,0.34,0.01,14.65,2.24
84,63.02,1,accreting,2023,2018,-28.82,1,eroding,-1.99,0.1,eroding,0.31,0.01,14.84,2.27,0.31,0.01,14.84,2.27
85,64.9,1,accreting,2023,2017,-31.79,1,eroding,-2.19,0.1,eroding,0.37,0.01,15.29,2.34,0.37,0.01,15.29,2.34
86,65.91,1,accreting,2023,2018,-31.58,1,eroding,-2.18,0.1,eroding,0.22,0,14.58,2.23,0.22,0,14.58,2.23
87,55.51,1,accreting,2023,2017,-31.16,1,eroding,-2.15,0.1,eroding,0.26,0.01,14.38,2.2,0.26,0.01,14.38,2.2
88,45.09,1,accreting,2023,2018,-34.09,1,eroding,-2.35,0.1,eroding,0.39,0.01,13.86,2.12,0.39,0.01,13.86,2.12
89,50.18,1,accreting,2021,2018,-34.54,1,eroding,-2.38,0.1,eroding,0.27,0.01,14.34,2.19,0.27,0.01,14.34,2.19
90,46.36,1,accreting,2021,2018,-31.54,1,eroding,-2.17,0.1,eroding,0.22,0,13.11,2,0.22,0,13.11,2
91,46.01,1,accreting,2021,2018,-34.46,1,eroding,-2.37,0.1,eroding,0.45,0.02,13.26,2.03,0.45,0.02,13.26,2.03
92,50.7,1,accreting,2023,2018,-31.05,1,eroding,-2.14,0.1,eroding,0.26,0.01,13.44,2.05,0.26,0.01,13.44,2.05
93,48.14,1,accreting,2023,2016,-30,1,eroding,-2.07,0.1,eroding,0.24,0.01,13.5,2.06,0.24,0.01,13.5,2.06
94,54.15,1,accreting,2023,2018,-30.22,1,eroding,-2.08,0.1,eroding,0.11,0,14.04,2.15,0.11,0,14.04,2.15
95,53.33,1,accreting,2023,2016,-30.33,1,eroding,-2.09,0.1,eroding,0.05,0,13.92,2.13,0.05,0,13.92,2.13
96,51.21,1,accreting,2023,2018,-30.26,1,eroding,-2.09,0.1,eroding,0.15,0,13.89,2.12,0.15,0,13.89,2.12
97,50.16,1,accreting,2023,2020,-34.97,1,eroding,-2.41,0.1,eroding,0.22,0,13.68,2.09,0.22,0,13.68,2.09
98,47.22,1,accreting,2022,2020,-36.18,1,eroding,-2.49,0.1,eroding,0.34,0.01,12.53,1.91,0.34,0.01,12.53,1.91
99,48.31,1,accreting,2022,2020,-34.72,1,eroding,-2.39,0.1,eroding,0.57,0.04,12.15,1.86,0.57,0.04,12.15,1.86
100,47.08,1,accreting,2023,2020,-33.29,1,eroding,-2.29,0.1,eroding,0.49,0.03,12.59,1.92,0.49,0.03,12.59,1.92
101,45.46,1,accreting,2023,2020,-34.2,1,eroding,-2.36,0.1,eroding,0.47,0.02,12.22,1.87,0.47,0.02,12.22,1.87
102,44.3,1,accreting,2023,2020,-35.79,1,eroding,-2.47,0.1,eroding,0.61,0.04,12.4,1.9,0.61,0.04,12.4,1.9
103,43.76,1,accreting,2023,2020,-35.7,1,eroding,-2.46,0.1,eroding,0.6,0.04,12.47,1.91,0.6,0.04,12.47,1.91
104,43.9,1,accreting,2023,2020,-33.49,1,eroding,-2.31,0.1,eroding,0.46,0.02,12.26,1.87,0.46,0.02,12.26,1.87
105,44.23,1,accreting,2023,2020,-28.69,1,eroding,-1.98,0.1,eroding,0.69,0.05,11.99,1.83,0.69,0.05,11.99,1.83
106,47.31,1,accreting,2011,2020,-28.73,1,eroding,-1.98,0.1,eroding,0.84,0.07,12.57,1.92,0.84,0.07,12.57,1.92
107,48.29,1,accreting,2018,2020,-27.76,1,eroding,-1.91,0.1,eroding,0.76,0.06,12.82,1.96,0.76,0.06,12.82,1.96
108,53.46,1,accreting,2023,2020,-26.33,1,eroding,-1.81,0.1,eroding,0.69,0.05,13.07,2,0.69,0.05,13.07,2
109,61.54,1,accreting,2023,2020,-28.87,1,eroding,-1.99,0.1,eroding,0.82,0.05,14.1,2.16,0.82,0.05,14.1,2.16
110,62.69,1,accreting,2023,2020,-34.34,1,eroding,-2.37,0.1,eroding,0.91,0.06,15.02,2.3,0.91,0.06,15.02,2.3
111,63.22,1,accreting,2023,2020,-36.74,1,eroding,-2.53,0.1,eroding,0.92,0.06,15.44,2.36,0.92,0.06,15.44,2.36
112,68.48,1,accreting,2023,2020,-35.19,1,eroding,-2.43,0.1,eroding,0.69,0.03,16.34,2.5,0.69,0.03,16.34,2.5
113,73.79,1,accreting,2023,2020,-31.89,1,eroding,-2.2,0.1,eroding,0.72,0.03,16.79,2.57,0.72,0.03,16.79,2.57
114,78.83,1,accreting,2023,2020,-31,1,eroding,-2.14,0.1,eroding,0.71,0.03,17.43,2.66,0.71,0.03,17.43,2.66
115,83.4,1,accreting,2023,2020,-29.31,1,eroding,-2.02,0.1,eroding,0.59,0.02,18.31,2.8,0.59,0.02,18.31,2.8
116,89.11,1,accreting,2023,2020,-29.12,1,eroding,-2.01,0.1,eroding,0.54,0.01,19.7,3.01,0.54,0.01,19.7,3.01
117,92.35,1,accreting,2023,2020,-31.76,1,eroding,-2.19,0.1,eroding,0.55,0.01,20.69,3.16,0.55,0.01,20.69,3.16
118,94.11,1,accreting,2023,2020,-34.38,1,eroding,-2.37,0.1,eroding,0.54,0.01,21.55,3.3,0.54,0.01,21.55,3.3
119,91.89,1,accreting,2023,2020,-37.28,1,eroding,-2.57,0.1,eroding,0.65,0.01,22.42,3.43,0.65,0.01,22.42,3.43
120,90.47,1,accreting,2023,2020,-39.89,1,eroding,-2.75,0.1,eroding,0.77,0.02,22.73,3.47,0.77,0.02,22.73,3.47
121,89.22,1,accreting,2023,2020,-43.25,1,eroding,-2.98,0.1,eroding,0.94,0.03,22.39,3.42,0.94,0.03,22.39,3.42
122,88.76,1,accreting,2011,2020,-46.07,1,eroding,-3.18,0.1,eroding,1.17,0.04,23.28,3.56,1.17,0.04,23.28,3.56
123,87.47,1,accreting,2011,2020,-47.13,1,eroding,-3.25,0.1,eroding,1.25,0.05,22.76,3.48,1.25,0.05,22.76,3.48
124,86.55,1,accreting,2011,2020,-48.62,1,eroding,-3.35,0.1,eroding,1.37,0.06,22.75,3.48,1.37,0.06,22.75,3.48
125,83.7,1,accreting,2011,2020,-50.38,1,eroding,-3.47,0.1,eroding,1.35,0.06,22.25,3.4,1.35,0.06,22.25,3.4
126,79.83,1,accreting,2011,2020,-47.94,1,eroding,-3.3,0.1,eroding,1.32,0.06,21.28,3.25,1.32,0.06,21.28,3.25
127,72.96,1,accreting,2011,2020,-42.51,1,eroding,-2.93,0.1,eroding,1.28,0.06,20.19,3.09,1.28,0.06,20.19,3.09
128,66.7,1,accreting,2011,2020,-37.63,1,eroding,-2.59,0.1,eroding,1.16,0.06,18.18,2.78,1.16,0.06,18.18,2.78
129,62.49,1,accreting,2011,2020,-33.27,1,eroding,-2.29,0.1,eroding,0.96,0.05,16.63,2.54,0.96,0.05,16.63,2.54
130,59.73,1,accreting,2011,2020,-28.64,1,eroding,-1.97,0.1,eroding,0.92,0.06,15.4,2.35,0.92,0.06,15.4,2.35
131,55.2,1,accreting,2011,2020,-25.63,1,eroding,-1.77,0.1,eroding,0.94,0.07,14.14,2.16,0.94,0.07,14.14,2.16
132,51.24,1,accreting,2011,2020,-24.26,1,eroding,-1.67,0.1,eroding,1.02,0.1,12.62,1.93,1.02,0.1,12.62,1.93
133,47.86,1,accreting,2011,2020,-22.41,1,eroding,-1.54,0.1,eroding,1.04,0.12,11.79,1.8,1.04,0.12,11.79,1.8
134,45.97,1,accreting,2011,2020,-17.8,1,eroding,-1.23,0.1,eroding,0.89,0.1,11.32,1.73,0.89,0.1,11.32,1.73
135,44.88,1,accreting,2011,2020,-12.5,1,eroding,-0.86,0.1,eroding,0.72,0.07,11.09,1.7,0.72,0.07,11.09,1.7
136,44.5,1,accreting,2023,2020,-10.67,1,eroding,-0.74,0.1,eroding,0.66,0.06,10.96,1.67,0.66,0.06,10.96,1.67
137,43.46,1,accreting,2023,2020,-13.45,1,eroding,-0.93,0.1,eroding,0.69,0.07,10.43,1.59,0.69,0.07,10.43,1.59
138,42.16,1,accreting,2023,2020,-15.86,1,eroding,-1.09,0.1,eroding,0.67,0.08,9.36,1.43,0.67,0.08,9.36,1.43
139,35.28,1,accreting,2023,2020,-14.84,1,eroding,-1.02,0.1,eroding,0.61,0.09,7.9,1.21,0.61,0.09,7.9,1.21
140,30.32,1,accreting,2012,2020,-12.59,1,eroding,-0.87,0.1,eroding,0.53,0.09,6.75,1.03,0.53,0.09,6.75,1.03
141,25.63,1,accreting,2012,2020,-8.75,1,eroding,-0.6,0.1,eroding,0.51,0.11,5.82,0.89,0.51,0.11,5.82,0.89
142,21.62,1,accreting,2016,2020,-4.33,1,eroding,-0.3,0.1,eroding,0.41,0.1,5.1,0.78,0.41,0.1,5.1,0.78
143,20.33,1,accreting,2016,2020,-1.75,1,eroding,-0.12,0.1,eroding,0.44,0.15,4.34,0.66,0.44,0.15,4.34,0.66
144,15.78,1,accreting,2016,2022,1.7,1,accreting,0.12,0.1,accreting,0.35,0.12,3.81,0.58,0.35,0.12,3.81,0.58
145,13.84,1,accreting,2017,2022,5.02,1,accreting,0.35,0.1,accreting,0.28,0.08,3.94,0.6,0.28,0.08,3.94,0.6
146,13.38,1,accreting,2011,2023,4.4,1,accreting,0.3,0.1,accreting,0.3,0.1,3.62,0.55,0.3,0.1,3.62,0.55
147,14.62,1,accreting,2017,2019,5.28,1,accreting,0.36,0.1,accreting,0.32,0.11,3.73,0.57,0.32,0.11,3.73,0.57
148,19.64,1,accreting,2016,2019,2.99,1,accreting,0.21,0.1,accreting,0.38,0.13,4.09,0.63,0.38,0.13,4.09,0.63
149,17.71,1,accreting,2016,2019,-1.22,1,eroding,-0.08,0.1,eroding,0.4,0.18,3.54,0.54,0.4,0.18,3.54,0.54
150,14.12,1,accreting,2011,2019,-5.06,1,eroding,-0.35,0.1,eroding,0.55,0.37,2.92,0.45,0.55,0.37,2.92,0.45
