id,SCE,SCE_highest_unc,SCE_trend,SCE_closest_year,SCE_farthest_year,NSM,NSM_highest_unc,NSM_trend,EPR,EPR_unc,EPR_trend
1,5.57,2,accreting,2016,2015,-5.57,2,eroding,-4.46,2.26,eroding
2,4,2,accreting,2016,2015,-4,2,eroding,-3.2,2.26,eroding
3,3.21,2,accreting,2016,2015,-3.21,2,eroding,-2.57,2.26,eroding
4,4.88,2,accreting,2016,2015,-4.88,2,eroding,-3.9,2.26,eroding
5,6.69,2,accreting,2016,2015,-6.69,2,eroding,-5.36,2.26,eroding
6,8.11,2,accreting,2016,2015,-8.11,2,eroding,-6.49,2.26,eroding
7,9.65,2,accreting,2016,2015,-9.65,2,eroding,-7.72,2.26,eroding
8,11.35,2,accreting,2016,2015,-11.35,2,eroding,-9.08,2.26,eroding
9,11.18,2,accreting,2016,2015,-11.18,2,eroding,-8.94,2.26,eroding
10,9.16,2,accreting,2016,2015,-9.16,2,eroding,-7.33,2.26,eroding
11,8.15,2,accreting,2016,2015,-8.15,2,eroding,-6.52,2.26,eroding
12,8.17,2,accreting,2016,2015,-8.17,2,eroding,-6.54,2.26,eroding
13,7.72,2,accreting,2016,2015,-7.72,2,eroding,-6.17,2.26,eroding
14,6.57,2,accreting,2016,2015,-6.57,2,eroding,-5.26,2.26,eroding
15,6.64,2,accreting,2016,2015,-6.64,2,eroding,-5.31,2.26,eroding
16,7.24,2,accreting,2016,2015,-7.24,2,eroding,-5.79,2.26,eroding
17,7.82,2,accreting,2016,2015,-7.82,2,eroding,-6.26,2.26,eroding
18,8.27,2,accreting,2016,2015,-8.27,2,eroding,-6.62,2.26,eroding
19,8.78,2,accreting,2016,2015,-8.78,2,eroding,-7.02,2.26,eroding
20,8.83,2,accreting,2016,2015,-8.83,2,eroding,-7.07,2.26,eroding
21,8.13,2,accreting,2016,2015,-8.13,2,eroding,-6.5,2.26,eroding
22,6.69,2,accreting,2016,2015,-6.69,2,eroding,-5.35,2.26,eroding
23,5.59,2,accreting,2016,2015,-5.59,2,eroding,-4.47,2.26,eroding
24,3.87,2,accreting,2016,2015,-3.87,2,eroding,-3.09,2.26,eroding
25,2.12,2,accreting,2016,2015,-2.12,2,eroding,-1.69,2.26,stable
26,1.66,2,stable,2016,2015,-1.66,2,stable,-1.33,2.26,stable
27,3.35,2,accreting,2016,2015,-3.35,2,eroding,-2.68,2.26,eroding
28,4.68,2,accreting,2016,2015,-4.68,2,eroding,-3.74,2.26,eroding
29,4.91,2,accreting,2016,2015,-4.91,2,eroding,-3.93,2.26,eroding
30,5.12,2,accreting,2016,2015,-5.12,2,eroding,-4.09,2.26,eroding
31,4.94,2,accreting,2016,2015,-4.94,2,eroding,-3.95,2.26,eroding
32,4.36,2,accreting,2016,2015,-4.36,2,eroding,-3.49,2.26,eroding
33,3.83,2,accreting,2016,2015,-3.83,2,eroding,-3.06,2.26,eroding
34,3.8,2,accreting,2016,2015,-3.8,2,eroding,-3.04,2.26,eroding
35,3.33,2,accreting,2016,2015,-3.33,2,eroding,-2.66,2.26,eroding
36,2.97,2,accreting,2016,2015,-2.97,2,eroding,-2.37,2.26,eroding
37,2.63,2,accreting,2016,2015,-2.63,2,eroding,-2.11,2.26,stable
38,2.38,2,accreting,2016,2015,-2.38,2,eroding,-1.9,2.26,stable
39,2.02,2,accreting,2016,2015,-2.02,2,eroding,-1.61,2.26,stable
40,1.09,2,stable,2016,2015,-1.09,2,stable,-0.87,2.26,stable
41,0.85,2,stable,2016,2015,-0.85,2,stable,-0.68,2.26,stable
42,0.74,2,stable,2016,2015,-0.74,2,stable,-0.59,2.26,stable
43,0.09,2,stable,2016,2015,-0.09,2,stable,-0.08,2.26,stable
44,0.69,2,stable,2015,2016,0.69,2,stable,0.55,2.26,stable
45,1.38,2,stable,2015,2016,1.38,2,stable,1.11,2.26,stable
46,1.12,2,stable,2015,2016,1.12,2,stable,0.9,2.26,stable
47,1.01,2,stable,2015,2016,1.01,2,stable,0.81,2.26,stable
48,1.07,2,stable,2015,2016,1.07,2,stable,0.86,2.26,stable
49,0.13,2,stable,2016,2015,-0.13,2,stable,-0.1,2.26,stable
50,1.84,2,stable,2016,2015,-1.84,2,stable,-1.47,2.26,stable
51,3.11,2,accreting,2016,2015,-3.11,2,eroding,-2.49,2.26,eroding
52,3.99,2,accreting,2016,2015,-3.99,2,eroding,-3.19,2.26,eroding
53,3.53,2,accreting,2016,2015,-3.53,2,eroding,-2.82,2.26,eroding
54,2.38,2,accreting,2016,2015,-2.38,2,eroding,-1.91,2.26,stable
55,4.35,2,accreting,2016,2015,-4.35,2,eroding,-3.48,2.26,eroding
56,4.5,2,accreting,2016,2015,-4.5,2,eroding,-3.6,2.26,eroding
57,3.79,2,accreting,2016,2015,-3.79,2,eroding,-3.03,2.26,eroding
58,2.45,2,accreting,2016,2015,-2.45,2,eroding,-1.96,2.26,stable
59,1.71,2,stable,2016,2015,-1.71,2,stable,-1.37,2.26,stable
60,3.66,2,accreting,2016,2015,-3.66,2,eroding,-2.92,2.26,eroding
61,4.15,2,accreting,2016,2015,-4.15,2,eroding,-3.32,2.26,eroding
