id,SCE,SCE_highest_unc,SCE_trend,SCE_closest_year,SCE_farthest_year,NSM,NSM_highest_unc,NSM_trend,EPR,EPR_unc,EPR_trend
1,0.82,2,stable,2016,2018,0.82,2,stable,0.49,1.69,stable
2,9.06,2,accreting,2016,2018,9.06,2,accreting,5.42,1.69,accreting
3,10.49,2,accreting,2016,2018,10.49,2,accreting,6.28,1.69,accreting
4,13.38,2,accreting,2016,2018,13.38,2,accreting,8.01,1.69,accreting
5,15.58,2,accreting,2016,2018,15.58,2,accreting,9.33,1.69,accreting
6,19,2,accreting,2016,2018,19,2,accreting,11.37,1.69,accreting
7,21.69,2,accreting,2016,2018,21.69,2,accreting,12.99,1.69,accreting
8,23.82,2,accreting,2016,2018,23.82,2,accreting,14.26,1.69,accreting
9,23.96,2,accreting,2016,2018,23.96,2,accreting,14.35,1.69,accreting
10,22.47,2,accreting,2016,2018,22.47,2,accreting,13.46,1.69,accreting
11,18.98,2,accreting,2016,2018,18.98,2,accreting,11.36,1.69,accreting
12,19.29,2,accreting,2016,2018,19.29,2,accreting,11.55,1.69,accreting
13,19.36,2,accreting,2016,2018,19.36,2,accreting,11.6,1.69,accreting
14,20.55,2,accreting,2016,2018,20.55,2,accreting,12.3,1.69,accreting
15,22.24,2,accreting,2016,2018,22.24,2,accreting,13.32,1.69,accreting
16,21.42,2,accreting,2016,2018,21.42,2,accreting,12.83,1.69,accreting
17,19.7,2,accreting,2016,2018,19.7,2,accreting,11.8,1.69,accreting
18,17.99,2,accreting,2016,2018,17.99,2,accreting,10.78,1.69,accreting
19,16.54,2,accreting,2016,2018,16.54,2,accreting,9.9,1.69,accreting
20,15.19,2,accreting,2016,2018,15.19,2,accreting,9.09,1.69,accreting
21,13.39,2,accreting,2016,2018,13.39,2,accreting,8.02,1.69,accreting
22,11.43,2,accreting,2016,2018,11.43,2,accreting,6.84,1.69,accreting
23,10.15,2,accreting,2016,2018,10.15,2,accreting,6.08,1.69,accreting
24,9.09,2,accreting,2016,2018,9.09,2,accreting,5.44,1.69,accreting
25,8.01,2,accreting,2016,2018,8.01,2,accreting,4.79,1.69,accreting
26,6.82,2,accreting,2016,2018,6.82,2,accreting,4.08,1.69,accreting
27,4.29,2,accreting,2016,2018,4.29,2,accreting,2.57,1.69,accreting
28,2.35,2,accreting,2016,2018,2.35,2,accreting,1.41,1.69,stable
29,1.47,2,stable,2016,2018,1.47,2,stable,0.88,1.69,stable
30,1.46,2,stable,2016,2018,1.46,2,stable,0.88,1.69,stable
31,1.04,2,stable,2016,2018,1.04,2,stable,0.62,1.69,stable
32,1.07,2,stable,2018,2016,-1.07,2,stable,-0.64,1.69,stable
33,3.11,2,accreting,2018,2016,-3.11,2,eroding,-1.86,1.69,eroding
34,4.31,2,accreting,2018,2016,-4.31,2,eroding,-2.58,1.69,eroding
35,4.25,2,accreting,2018,2016,-4.25,2,eroding,-2.54,1.69,eroding
36,2.97,2,accreting,2018,2016,-2.97,2,eroding,-1.78,1.69,eroding
