id,SCE,SCE_highest_unc,SCE_trend,SCE_closest_year,SCE_farthest_year,NSM,NSM_highest_unc,NSM_trend,EPR,EPR_unc,EPR_trend
1,0.17,2,stable,2019,2018,-0.17,2,stable,-0.18,3.07,stable
2,0.28,2,stable,2019,2018,-0.28,2,stable,-0.3,3.07,stable
3,1.92,2,stable,2018,2019,1.92,2,stable,2.09,3.07,stable
4,0,2,stable,2019,2018,-0,2,stable,-0,3.07,stable
5,3.08,2,accreting,2019,2018,-3.08,2,eroding,-3.35,3.07,eroding
6,5.54,2,accreting,2019,2018,-5.54,2,eroding,-6.02,3.07,eroding
7,7.51,2,accreting,2019,2018,-7.51,2,eroding,-8.16,3.07,eroding
8,9.81,2,accreting,2019,2018,-9.81,2,eroding,-10.66,3.07,eroding
9,9.45,2,accreting,2019,2018,-9.45,2,eroding,-10.27,3.07,eroding
10,10.91,2,accreting,2019,2018,-10.91,2,eroding,-11.85,3.07,eroding
11,11.2,2,accreting,2019,2018,-11.2,2,eroding,-12.17,3.07,eroding
12,10.24,2,accreting,2019,2018,-10.24,2,eroding,-11.13,3.07,eroding
13,10.33,2,accreting,2019,2018,-10.33,2,eroding,-11.23,3.07,eroding
14,9.18,2,accreting,2019,2018,-9.18,2,eroding,-9.98,3.07,eroding
15,8.96,2,accreting,2019,2018,-8.96,2,eroding,-9.74,3.07,eroding
16,9.94,2,accreting,2019,2018,-9.94,2,eroding,-10.8,3.07,eroding
17,9.55,2,accreting,2019,2018,-9.55,2,eroding,-10.38,3.07,eroding
18,8.75,2,accreting,2019,2018,-8.75,2,eroding,-9.51,3.07,eroding
19,9.26,2,accreting,2019,2018,-9.26,2,eroding,-10.06,3.07,eroding
20,7.04,2,accreting,2019,2018,-7.04,2,eroding,-7.65,3.07,eroding
21,5.21,2,accreting,2019,2018,-5.21,2,eroding,-5.67,3.07,eroding
22,3.97,2,accreting,2019,2018,-3.97,2,eroding,-4.32,3.07,eroding
23,2.85,2,accreting,2019,2018,-2.85,2,eroding,-3.09,3.07,eroding
