id,SCE,SCE_highest_unc,SCE_trend,SCE_closest_year,SCE_farthest_year,NSM,NSM_highest_unc,NSM_trend,EPR,EPR_unc,EPR_trend
1,1.36,2,stable,2013,2012,-1.36,2,stable,-2.03,4.22,stable
2,1.6,2,stable,2013,2012,-1.6,2,stable,-2.39,4.22,stable
3,1.83,2,stable,2013,2012,-1.83,2,stable,-2.73,4.22,stable
4,0.49,2,stable,2012,2013,0.49,2,stable,0.73,4.22,stable
5,0.91,2,stable,2012,2013,0.91,2,stable,1.35,4.22,stable
6,0.83,2,stable,2012,2013,0.83,2,stable,1.24,4.22,stable
7,0.45,2,stable,2012,2013,0.45,2,stable,0.67,4.22,stable
8,0.05,2,stable,2013,2012,-0.05,2,stable,-0.07,4.22,stable
9,0.64,2,stable,2013,2012,-0.64,2,stable,-0.95,4.22,stable
10,0.5,2,stable,2013,2012,-0.5,2,stable,-0.74,4.22,stable
11,0.03,2,stable,2012,2013,0.03,2,stable,0.04,4.22,stable
12,0.89,2,stable,2013,2012,-0.89,2,stable,-1.32,4.22,stable
13,1.68,2,stable,2013,2012,-1.68,2,stable,-2.5,4.22,stable
14,1.27,2,stable,2013,2012,-1.27,2,stable,-1.89,4.22,stable
15,1.2,2,stable,2012,2013,1.2,2,stable,1.79,4.22,stable
16,2.82,2,accreting,2012,2013,2.82,2,accreting,4.21,4.22,stable
17,3.08,2,accreting,2012,2013,3.08,2,accreting,4.6,4.22,accreting
18,3.1,2,accreting,2012,2013,3.1,2,accreting,4.63,4.22,accreting
19,1.84,2,stable,2012,2013,1.84,2,stable,2.75,4.22,stable
20,0.43,2,stable,2013,2012,-0.43,2,stable,-0.65,4.22,stable
21,0.92,2,stable,2013,2012,-0.92,2,stable,-1.37,4.22,stable
22,1.13,2,stable,2013,2012,-1.13,2,stable,-1.69,4.22,stable
23,1.43,2,stable,2013,2012,-1.43,2,stable,-2.13,4.22,stable
24,1.39,2,stable,2013,2012,-1.39,2,stable,-2.07,4.22,stable
25,1.13,2,stable,2013,2012,-1.13,2,stable,-1.68,4.22,stable
26,0.86,2,stable,2013,2012,-0.86,2,stable,-1.28,4.22,stable
27,0.86,2,stable,2013,2012,-0.86,2,stable,-1.29,4.22,stable
28,1.74,2,stable,2013,2012,-1.74,2,stable,-2.6,4.22,stable
