monsoon_year,Change_Class,driver,min_value,q25,median_value,q75,max_value,n_months,dominant_range,full_range
2013,erosion,VHM0_mean,1.108629,1.222127,1.497875,1.9421794,2.2570162,12,1.222 to 1.942,1.109 to 2.257
2013,erosion,VMDR_mean,172.48677,185.16232,198.18628,204.92001,228.90596,12,185.162 to 204.920,172.487 to 228.906
2013,erosion,VTPK_mean,11.690403,12.520211,12.814899,13.200431,13.7115,12,12.520 to 13.200,11.690 to 13.712
2013,erosion,eastward_wind_mean,-0.77,0.3675,1.905,4.6725,5.76,12,0.368 to 4.673,-0.770 to 5.760
2013,erosion,northward_wind_mean,-0.71,-0.1725,0.54,0.90250003,1.05,12,-0.172 to 0.903,-0.710 to 1.050
2013,erosion,uo_mean,-0.48768577,-0.15411848,0.024109622,0.17319255,0.2661214,12,-0.154 to 0.173,-0.488 to 0.266
2013,erosion,vo_mean,-0.17212439,-0.13107699,-0.028687399,0.02929777,0.19226661,12,-0.131 to 0.029,-0.172 to 0.192
2013,erosion,zos_mean,0.38758507,0.41940063,0.46723837,0.52743614,0.5557421,12,0.419 to 0.527,0.388 to 0.556
2014,erosion,VHM0_mean,1.1557589,1.2365665,1.5835483,2.14372,2.4196668,12,1.237 to 2.144,1.156 to 2.420
2014,erosion,VMDR_mean,171.00928,188.8679,200.80235,212.94666,235.77316,12,188.868 to 212.947,171.009 to 235.773
2014,erosion,VTPK_mean,11.895363,12.504365,12.744214,13.485426,14.293024,12,12.504 to 13.485,11.895 to 14.293
2014,erosion,eastward_wind_mean,-0.61,0.45,3.1149998,5.0675,6.13,12,0.450 to 5.068,-0.610 to 6.130
2014,erosion,northward_wind_mean,-0.95,-0.46,0.1,0.65,0.85,12,-0.460 to 0.650,-0.950 to 0.850
2014,erosion,uo_mean,-0.32288584,-0.1719718,0.10101627,0.26367992,0.32471693,12,-0.172 to 0.264,-0.323 to 0.325
2014,erosion,vo_mean,-0.26490065,-0.21454513,-0.069887385,0.024262216,0.14770958,12,-0.215 to 0.024,-0.265 to 0.148
2014,erosion,zos_mean,0.29541916,0.38521987,0.4559465,0.53315836,0.5417035,12,0.385 to 0.533,0.295 to 0.542
2015,accretion,VHM0_mean,1.1666964,1.2511592,1.4572614,2.054108,2.4977016,12,1.251 to 2.054,1.167 to 2.498
2015,accretion,VMDR_mean,177.61235,188.7846,201.41708,215.49843,231.53384,12,188.785 to 215.498,177.612 to 231.534
2015,accretion,VTPK_mean,11.732338,13.037358,13.739229,14.071573,14.428185,12,13.037 to 14.072,11.732 to 14.428
2015,accretion,eastward_wind_mean,-1.0,0.78249997,2.2350001,4.465,6.16,12,0.782 to 4.465,-1.000 to 6.160
2015,accretion,northward_wind_mean,-1.67,-0.89,0.22500001,0.41,1.21,12,-0.890 to 0.410,-1.670 to 1.210
2015,accretion,uo_mean,-0.51515245,-0.20233771,-0.053407393,0.15671253,0.2826014,12,-0.202 to 0.157,-0.515 to 0.283
2015,accretion,vo_mean,-0.2496414,-0.10467849,-0.008850368,0.050202947,0.14709921,12,-0.105 to 0.050,-0.250 to 0.147
2015,accretion,zos_mean,0.38575396,0.41268653,0.45640433,0.5058443,0.5734428,12,0.413 to 0.506,0.386 to 0.573
2016,erosion,VHM0_mean,1.0975807,1.1820409,1.446564,1.9576099,2.1689918,12,1.182 to 1.958,1.098 to 2.169
2016,erosion,VMDR_mean,179.69029,182.84238,193.76746,205.25821,223.00528,12,182.842 to 205.258,179.690 to 223.005
2016,erosion,VTPK_mean,11.830443,13.380051,13.667944,14.323283,14.702167,12,13.380 to 14.323,11.830 to 14.702
2016,erosion,eastward_wind_mean,-0.82,0.20750001,1.44,3.9850001,5.82,12,0.208 to 3.985,-0.820 to 5.820
2016,erosion,northward_wind_mean,-0.64,0.1275,0.45,0.71000004,1.66,12,0.127 to 0.710,-0.640 to 1.660
2016,erosion,uo_mean,-0.20874661,-0.12344737,0.04364147,0.25894955,0.40162358,12,-0.123 to 0.259,-0.209 to 0.402
