monsoon_year,Hm0_max_year,WindMax_year,UcurrMax_year,max_forcing,Erosion_Label,annual_NSM,annual_wave_norm,annual_wind_norm,annual_curr_norm,annual_forcing_composite,Hm0_max_annual,Hm0_mean_annual,Hm0_std_annual,Tp_max_annual,Tp_mean_annual,CumWaveEnergy_annual,StormDays_wave_annual,WindMax_annual,WindMean_annual,WindStd_annual,WindStressMax_annual,WindStressMean_annual,StormDays_wind_annual,UcurrMax_annual,UcurrMean_annual,UcurrStd_annual,CumCurrent_annual,Hm0_max,WindMax,UcurrMax,Hm0_mean,WindMean,UcurrMean,CumCurrent,WindStressMean,StormDays_wave,CumWaveEnergy,wave_intensity,wind_intensity,current_intensity,env_forcing_index,PC1,PC2,PC3,Forcing_Cluster,Forcing_Regime
2000,2.62,6.73,0.4193461,1.2083502,0,0.0,-0.71625745,0.5663718,-0.5568828,-0.23558949,2.62,1.2703364,0.49438685,21.37,12.488761,63933.707,271,6.73,5.1,0.8215506,0.08,0.041666668,0,0.4193461,0.16064516,0.08402712,58.635483,2.62,6.73,0.4193461,1.2703364,5.1,0.16064516,58.635483,0.041666668,271,63933.707,-0.71625745,0.5663718,-0.5568828,-0.23558949,2.8093113065671034,-1.9215846409800572,-0.7869372072818609,3,Wind-Dominated
2001,2.66,5.99,0.46336424,1.1270678,0,0.0,-0.5766354,-1.3386995,-0.06298026,-0.65943843,2.66,1.2267158,0.5222247,24.17,12.6819105,64447.848,249,5.99,5.0516667,0.8507625,0.06,0.04,0,0.46336424,0.14502582,0.079180636,52.934425,2.66,5.99,0.46336424,1.2267158,5.0516667,0.14502582,52.934425,0.04,249,64447.848,-0.5766354,-1.3386995,-0.06298026,-0.65943843,0.8245730644197494,-1.9719345352231348,0.5817032337622708,1,Low-Energy
2002,2.7,5.76,0.38655084,0.7987616,0,0.0,-0.43701416,-1.9308149,-0.9248596,-1.0975629,2.7,1.1986438,0.5135195,25.59,12.978047,61854.992,214,5.76,4.6075,0.6603598,0.05,0.030833334,0,0.38655084,0.14180745,0.07653236,51.75972,2.7,5.76,0.38655084,1.1986438,4.6075,0.14180745,51.75972,0.030833334,214,61854.992,-0.43701416,-1.9308149,-0.9248596,-1.0975629,-0.8053190365285516,-1.6896683882428327,0.9110881804949825,1,Low-Energy
2003,2.51,6.05,0.47149864,0.870989,0,0.0,-1.1002159,-1.1842332,0.028291142,-0.7520526,2.51,1.17847,0.47623923,23.49,12.287831,55666.098,109,6.05,4.9075,0.8510221,0.05,0.035,0,0.47149864,0.14137337,0.0788835,51.742653,2.51,6.05,0.47149864,1.17847,4.9075,0.14137337,51.742653,0.035,109,55666.098,-1.1002159,-1.1842332,0.028291142,-0.7520526,-1.2635191930627905,-0.7077428407650741,-0.7566061222090102,1,Low-Energy
2004,2.69,6.69,0.43191615,1.0380881,0,0.0,-0.47191948,0.46339512,-0.4158414,-0.14145525,2.69,1.1930205,0.5387531,26.07,11.846018,55685.227,225,6.69,5.0750003,0.96430385,0.07,0.039166667,0,0.43191615,0.15036295,0.08399996,54.882477,2.69,6.69,0.43191615,1.1930205,5.0750003,0.15036295,54.882477,0.039166667,225,55685.227,-0.47191948,0.46339512,-0.4158414,-0.14145525,0.740088106553018,-0.9369038667353079,-0.9784794675371791,3,Low-Energy
2005,2.97,6.5,0.44177058,1.1194268,0,0.0,0.50543,-0.025744788,-0.3052704,0.058138262,2.97,1.1985788,0.50284487,21.17,11.807982,55397.277,170,6.5,5.0750003,0.869059,0.06,0.04,0,0.44177058,0.15338983,0.08043012,55.987286,2.97,6.5,0.44177058,1.1985788,5.0750003,0.15338983,55.987286,0.04,170,55397.277,0.50543,-0.025744788,-0.3052704,0.058138262,0.7991075485870693,-0.08729567742708771,-0.8202652823266469,0,Wave-Dominated
2006,2.42,5.88,0.42298695,0.65030795,0,0.0,-1.4143636,-1.6218848,-0.5160308,-1.1840931,2.42,1.0954212,0.45577234,23.4,12.446295,49926.027,89,5.88,4.4183335,0.9961,0.05,0.035555556,0,0.42298695,0.14246073,0.08007425,51.998165,2.42,5.88,0.42298695,1.0954212,4.4183335,0.14246073,51.998165,0.035555556,89,49926.027,-1.4143636,-1.6218848,-0.5160308,-1.1840931,-3.1450048551771097,0.09240789763213854,-1.2677316747834553,1,Low-Energy
2007,2.63,6.15,0.49873784,1.0775809,0,0.0,-0.6813513,-0.9267915,0.33392668,-0.42473873,2.63,1.1573737,0.46073896,22.12,12.309236,54873.53,94,6.15,4.4691668,1.4122224,0.0,0.0,0,0.49873784,0.14320579,0.07847559,52.41332,2.63,6.15,0.49873784,1.1573737,4.4691668,0.14320579,52.41332,0.0,94,54873.53,-0.6813513,-0.9267915,0.33392668,-0.42473873,-1.6386198130895577,0.41442799704108657,-0.3838529645555101,1,Low-Energy
2008,2.64,6.25,0.43156323,0.6445587,0,0.0,-0.646446,-0.66934973,-0.4198013,-0.5785323,2.64,1.0934829,0.43739852,22.9,12.338743,49077.305,70,6.25,4.36,1.2282138,0.0,0.0,0,0.43156323,0.13654728,0.068119615,49.839756,2.64,6.25,0.43156323,1.0934829,4.36,0.13654728,49.839756,0.0,70,49077.305,-0.646446,-0.66934973,-0.4198013,-0.5785323,-3.3645837557603397,0.6947976148382666,-0.6388368902466993,1,Low-Energy
2009,2.77,6.69,0.43741915,0.9461167,0,0.0,-0.192677,0.46339512,-0.35409537,-0.027792424,2.77,1.1846439,0.4824816,21.94,12.218681,55166.28,142,6.69,4.5925,1.5369871,0.0,0.0,0,0.43741915,0.15627904,0.076781526,57.04185,2.77,6.69,0.43741915,1.1846439,4.5925,0.15627904,57.04185,0.0,142,55166.28,-0.192677,0.46339512,-0.35409537,-0.027792424,0.21405691453493914,0.35645313393739997,-1.1236112959623028,3,Low-Energy
2010,2.74,6.87,0.53915626,1.5539421,1,-6.796666666666667,-0.29739293,0.92679024,0.78743863,0.47227862,2.74,1.214161,0.47174004,22.6,11.365819,54117.3,154,6.87,4.9733334,1.237992,0.0,0.0,0,0.53915626,0.17072016,0.09755305,62.31286,2.74,6.87,0.53915626,1.214161,4.9733334,0.17072016,62.31286,0.0,154,54117.3,-0.29739293,0.92679024,0.78743863,0.47227862,2.3260962005575907,0.9643994542931783,-2.523913956054442,4,Wind-Current Combined
2011,2.54,6.29,0.3429607,0.6017166,1,-9.094444444444445,-0.9954999,-0.56637305,-1.4139599,-0.9919443,2.54,1.150403,0.43696368,23.04,12.788501,56244.84,79,6.29,4.415833,1.3979366,0.0,0.0,0,0.3429607,0.14096841,0.0737872,51.594437,2.54,6.29,0.3429607,1.150403,4.415833,0.14096841,51.594437,0.0,79,56244.84,-0.9954999,-0.56637305,-1.4139599,-0.9919443,-2.3559702929240034,-0.6982227970738987,-0.5108927796473971,1,Low-Energy
2012,2.97,6.68,0.46037453,1.1135498,0,2.850909090909091,0.50543,0.43765035,-0.09652608,0.28218475,2.97,1.1485376,0.42697686,21.04,12.703686,53603.65,59,6.68,4.5041666,1.5096325,0.0,0.0,0,0.46037453,0.13822383,0.076518126,50.4517,2.97,6.68,0.46037453,1.1485376,4.5041666,0.13822383,50.4517,0.0,59,53603.65,0.50543,0.43765035,-0.09652608,0.28218475,-1.8163410463953156,1.0528006299686274,0.09730986818591027,0,Wave-Dominated
2013,2.97,7.06,0.56642777,1.222719,0,-2.5714285714285716,0.50543,1.4159302,1.0934367,1.0049323,2.97,1.2392535,0.47555467,22.21,12.705161,62069.27,169,7.06,4.8108335,1.4629265,0.0,0.0,0,0.56642777,0.16995458,0.09081262,62.03342,2.97,7.06,0.56642777,1.2392535,4.8108335,0.16995458,62.03342,0.0,169,62069.27,0.50543,1.4159302,1.0934367,1.0049323,3.2355093058028195,1.081444306708858,-1.079269600420451,4,Wave-Wind-Current Combined
2014,2.65,6.85,0.48040012,1.0024968,0,-3.17,-0.61154073,0.8753019,0.12816954,0.13064356,2.65,1.2254316,0.4648923,21.62,13.427312,66298.89,166,6.85,4.465833,1.5094277,0.0,0.0,0,0.48040012,0.14937997,0.07770224,54.52369,2.65,6.85,0.48040012,1.2254316,4.465833,0.14937997,54.52369,0.0,166,66298.89,-0.61154073,0.8753019,0.12816954,0.13064356,0.8468013208671863,-0.5968361138847534,0.4424246637621965,3,Wind-Dominated
