id,SCE,SCE_highest_unc,SCE_trend,SCE_closest_year,SCE_farthest_year,NSM,NSM_highest_unc,NSM_trend,EPR,EPR_unc,EPR_trend
1,6.72,2,accreting,2014,2015,6.72,2,accreting,10.18,4.29,accreting
2,5.63,2,accreting,2014,2015,5.63,2,accreting,8.53,4.29,accreting
3,4.62,2,accreting,2014,2015,4.62,2,accreting,7,4.29,accreting
4,6.03,2,accreting,2014,2015,6.03,2,accreting,9.13,4.29,accreting
5,4.53,2,accreting,2014,2015,4.53,2,accreting,6.86,4.29,accreting
6,11.02,2,accreting,2015,2014,-11.02,2,eroding,-16.7,4.29,eroding
7,10.42,2,accreting,2015,2014,-10.42,2,eroding,-15.79,4.29,eroding
8,9.42,2,accreting,2015,2014,-9.42,2,eroding,-14.27,4.29,eroding
9,9.19,2,accreting,2015,2014,-9.19,2,eroding,-13.92,4.29,eroding
10,8.78,2,accreting,2015,2014,-8.78,2,eroding,-13.3,4.29,eroding
11,8.48,2,accreting,2015,2014,-8.48,2,eroding,-12.85,4.29,eroding
12,9.07,2,accreting,2015,2014,-9.07,2,eroding,-13.74,4.29,eroding
13,9.21,2,accreting,2015,2014,-9.21,2,eroding,-13.95,4.29,eroding
14,6.44,2,accreting,2015,2014,-6.44,2,eroding,-9.76,4.29,eroding
15,4.26,2,accreting,2015,2014,-4.26,2,eroding,-6.45,4.29,eroding
16,3.4,2,accreting,2015,2014,-3.4,2,eroding,-5.15,4.29,eroding
17,4.09,2,accreting,2015,2014,-4.09,2,eroding,-6.19,4.29,eroding
18,4.51,2,accreting,2015,2014,-4.51,2,eroding,-6.84,4.29,eroding
19,4.38,2,accreting,2015,2014,-4.38,2,eroding,-6.63,4.29,eroding
20,4,2,accreting,2015,2014,-4,2,eroding,-6.06,4.29,eroding
21,1.34,2,stable,2015,2014,-1.34,2,stable,-2.04,4.29,stable
22,0.65,2,stable,2014,2015,0.65,2,stable,0.98,4.29,stable
23,0.89,2,stable,2014,2015,0.89,2,stable,1.35,4.29,stable
24,1.38,2,stable,2014,2015,1.38,2,stable,2.08,4.29,stable
25,1.56,2,stable,2014,2015,1.56,2,stable,2.36,4.29,stable
26,1.38,2,stable,2014,2015,1.38,2,stable,2.09,4.29,stable
27,1.14,2,stable,2014,2015,1.14,2,stable,1.72,4.29,stable
28,0.89,2,stable,2014,2015,0.89,2,stable,1.35,4.29,stable
29,0.67,2,stable,2014,2015,0.67,2,stable,1.01,4.29,stable
30,2.05,2,accreting,2014,2015,2.05,2,accreting,3.1,4.29,stable
31,3.5,2,accreting,2014,2015,3.5,2,accreting,5.3,4.29,accreting
32,4.79,2,accreting,2014,2015,4.79,2,accreting,7.26,4.29,accreting
33,6,2,accreting,2014,2015,6,2,accreting,9.09,4.29,accreting
34,7.31,2,accreting,2014,2015,7.31,2,accreting,11.07,4.29,accreting
