Date,"Elevation Min, AVG, Max ft","Elevation Min, AVG, Max m",Elevation Min m,Elevation AVG m,Elevation MAX m,Distance miles,Distance meters,Elevation Gain/Loss ft,Elevation Gain/Loss m,Elevation Gain m,Elevation Loss m,Max Slope steepest upward/downward,AVG Slope steepest upward/downward,AVG Slope steepest upward (%),AVG Slope steepest downward (%)
7/30/2025,"0, 21, 48","0.00, 6.40, 14.63",0,6.4,14.63,0.84,1351.85,"214, -181","65.23, -55.17",65.23,-55.17,"28.4%, -28.1%","8.0%, -6.7%",8,-6.7
2/28/2025,"0, 21, 47","0.00, 6.40, 14.33",0,6.4,14.33,0.85,1367.94,"213, -178","64.92, -54.25",64.92,-54.25,"27.8%, -27.6%","7.5%, -6.9%",7.5,-6.9
2/29/2024,"0, 15, 69","0.00, 4.57, 21.03",0,4.57,21.03,0.85,1367.94,"202, -163","61.57, -49.68",61.57,-49.68,"28.8%, -27.6%","7.1%, -6.2%",7.1,-6.2
4/30/2023,"1, 19, 39","0.30, 5.79, 11.89",0.3,5.79,11.89,0.85,1367.94,"224, -187","68.28, -56.99",68.28,-56.99,"29.6%, -27.7%","7.8%, -7.2%",7.8,-7.2
2/28/2023,"0, 20, 52","0.00, 6.10, 15.85",0,6.1,15.85,0.85,1367.94,"236, -198","71.93, -60.35",71.93,-60.35,"35.2%, -32.5%","8.9%, -7.9%",8.9,-7.9
2/28/2022,"0, 18, 47","0.00, 5.49, 14.33",0,5.49,14.33,0.85,1367.94,"232, -197","70.71, -60.05",70.71,-60.05,"26.7%, -39.1%","8.2%, -7.8%",8.2,-7.8
11/30/2021,"0, 19, 47","0.00, 5.79, 14.33",0,5.79,14.33,0.84,1351.85,"237, -201","72.24, -61.26",72.24,-61.26,"28.1%, -30.9%","8.9%, -8.0%",8.9,-8
7/30/2021,"0, 23, 50","0.00, 7.01, 15.24",0,7.01,15.24,0.84,1351.85,"203, -175","61.87, -53.34",61.87,-53.34,"29.8%, -25.2%","7.6%, -6.6%",7.6,-6.6
11/30/2020,"0, 18, 47","0.00, 5.49, 14.33",0,5.49,14.33,0.85,1367.94,"231, -192","70.41, -58.52",70.41,-58.52,"33.7%, -28.2%","8.5%, -7.5%",8.5,-7.5
4/30/2020,"0, 19, 44","0.00, 5.79, 13.41",0,5.79,13.41,0.86,1384.04,"215, -177","65.53, -53.95",65.53,-53.95,"29.5%, -33.1%","7.5%, -7.0%",7.5,-7
3/30/2020,"0, 13, 40","0.00, 3.96, 12.19",0,3.96,12.19,0.85,1367.94,"192, -153","58.52, -46.63",58.52,-46.63,"27.2%, -26.3%","6.8%, -6.0%",6.8,-6
1/1/2020,"0, 14, 38","0.00, 4.27, 11.58",0,4.27,11.58,0.85,1367.94,"182, -143","55.47, -43.59",55.47,-43.59,"27.2%, -21.%","6.5%, -5.5%",6.5,-5.5
12/24/2019,"0, 19, 42","0.00, 5.79, 12.80",0,5.79,12.8,0.86,1384.04,"219, -180","66.75, -54.86",66.75,-54.86,"29.0%, -26.0%","7.6%, -6.9%",7.6,-6.9
