monsoon_year,year_month,VHM0_max,VHM0_mean,VHM0_std,VTPK_max,VTPK_mean,VMDR_mean,StokesDrift_max,StokesDrift_mean,StormDays_wave
2012,2013-01,1.05,0.6759336,0.09201483,19.74,12.890249,225.04556,0.06403124,0.016189653,0
2012,2013-02,1.15,0.73330355,0.1467183,19.73,13.817009,205.66249,0.03,0.0072332867,0
2012,2013-03,1.02,0.6664113,0.12204907,19.65,12.814073,189.65419,0.022360679,0.0026776888,0
2013,2013-04,1.44,0.87925,0.1425392,22.08,13.826583,205.6402,0.050990198,0.016051924,0
2013,2013-05,2.42,1.6431855,0.31070238,19.72,9.901452,228.72565,0.09486833,0.059463553,189
2013,2013-06,3.05,1.9498333,0.28260145,20.15,11.890834,249.52837,0.1360147,0.072162025,233
2013,2013-07,2.3,1.7670968,0.15913875,17.87,10.886693,250.22614,0.11,0.06325662,246
2013,2013-08,2.79,1.6498387,0.3758725,21.13,11.793992,237.46089,0.13038404,0.059694037,148
2013,2013-09,2.22,1.571,0.23893031,19.97,12.174042,228.88329,0.1029563,0.056899216,135
2013,2013-10,1.89,1.3093549,0.251239,20.47,11.774153,219.99895,0.09848858,0.04429719,43
2013,2013-11,1.19,0.82374996,0.14249165,20.6,13.930459,198.05566,0.05,0.0050333696,0
2013,2013-12,1.12,0.8456452,0.103044674,19.08,12.520121,226.12065,0.080622576,0.018611621,0
2013,2014-01,1.13,0.74834675,0.10607121,18.77,13.382822,219.0129,0.060827624,0.015491169,0
2013,2014-02,1.06,0.70410717,0.13247254,22.24,14.135625,198.29247,0.05830952,0.008429281,0
2013,2014-03,1.0,0.7314113,0.10742865,23.73,15.419638,196.1931,0.041231055,0.0065566194,0
2014,2014-04,1.13,0.88645834,0.123645626,20.27,14.688708,199.15117,0.041231055,0.013470224,0
2014,2014-05,2.09,1.331129,0.2194812,20.42,12.523992,210.97795,0.092195444,0.04172303,55
2014,2014-06,2.31,1.8904583,0.16712996,20.56,11.798334,246.5905,0.10049876,0.069754444,240
2014,2014-07,2.49,1.9615725,0.19266601,19.69,12.027016,248.4544,0.110453606,0.07094746,248
2014,2014-08,2.69,1.7206452,0.30568364,21.14,14.101492,234.13637,0.12083046,0.05553709,200
2014,2014-09,1.99,1.5215833,0.20378016,22.52,12.609709,227.84796,0.08246211,0.05043161,134
2014,2014-10,1.72,1.0830241,0.24758618,20.72,13.149153,207.0677,0.08544003,0.024224961,20
2014,2014-11,1.24,0.882875,0.14833972,19.37,12.696875,213.24425,0.072111025,0.01653405,0
2014,2014-12,1.14,0.7475,0.13466783,21.43,13.382137,224.87834,0.086023256,0.018191604,0
2014,2015-01,1.52,0.8177822,0.15563999,21.58,14.961774,207.67572,0.05,0.00937752,1
2014,2015-02,1.15,0.71191967,0.20506671,15.82,13.255446,196.68541,0.04,0.0072007068,0
2014,2015-03,1.45,0.81758064,0.15743321,21.36,14.744032,194.38661,0.022360679,0.0019478684,0
2015,2015-04,1.14,0.8574583,0.11746894,19.87,14.878375,195.6088,0.036055513,0.0067445925,0
2015,2015-05,1.68,1.260363,0.22011836,20.58,11.830041,215.3995,0.08246211,0.04405316,33
2015,2015-06,2.65,1.6562083,0.3271626,22.05,13.95525,235.94116,0.092195444,0.05218443,162
2015,2015-07,2.29,1.7124193,0.30038807,20.44,10.654355,244.49084,0.110453606,0.06812979,181
2015,2015-08,2.17,1.5410081,0.26017004,22.89,11.572017,234.29463,0.101980396,0.058490604,109
2015,2015-09,2.29,1.39325,0.28081968,20.81,12.210125,220.14859,0.10816654,0.045137126,83
2015,2015-10,1.78,1.0618951,0.23124036,22.91,15.173104,205.1198,0.06403124,0.019189922,17
2015,2015-11,1.39,0.88925,0.15020022,20.54,13.971708,205.4152,0.06708204,0.015629563,0
2015,2015-12,0.92,0.68552417,0.08681806,20.7,13.845202,204.01132,0.031622775,0.0037288705,0
2015,2016-01,1.2,0.7635484,0.12224416,21.27,14.348427,217.4619,0.031622775,0.010245135,0
2015,2016-02,1.08,0.72461206,0.086749,19.56,13.65362,202.09889,0.03,0.0054048533,0
2015,2016-03,1.0,0.7501613,0.10510441,20.73,15.137137,197.01024,0.036055513,0.005488975,0
2016,2016-04,1.56,0.89670837,0.20571032,20.03,15.232875,197.3483,0.041231055,0.008702714,1
2016,2016-05,2.66,1.537379,0.5719708,20.95,13.087218,217.56496,0.13,0.04564469,144
2016,2016-06,2.39,1.912375,0.18653576,21.38,11.652708,244.18613,0.12165525,0.07181828,240
2016,2016-07,2.34,1.930887,0.20706162,19.51,11.613267,249.6198,0.10049876,0.061682083,237
2016,2016-08,2.22,1.79875,0.1526064,20.65,10.229758,242.91779,0.11,0.07153185,247
2016,2016-09,2.4,1.6570834,0.2094759,20.57,10.780583,240.47975,0.092195444,0.064681225,194
2016,2016-10,1.64,1.2969757,0.17444222,20.35,11.25758,221.679,0.089442715,0.046410136,21
2016,2016-11,1.97,1.0369583,0.24430141,23.36,15.121583,204.65521,0.06324555,0.012020219,13
2016,2016-12,1.65,0.7957662,0.26672444,20.56,12.328025,216.16512,0.08246211,0.017157907,13
2016,2017-01,1.3,0.73036295,0.15653469,21.24,14.592903,213.1348,0.060827624,0.0126503175,0
