id,SCE,SCE_highest_unc,SCE_trend,SCE_closest_year,SCE_farthest_year,NSM,NSM_highest_unc,NSM_trend,EPR,EPR_unc,EPR_trend
1,3.81,2,accreting,2024,2025,3.81,2,accreting,3.81,2.83,accreting
2,3.72,2,accreting,2024,2025,3.72,2,accreting,3.72,2.83,accreting
3,2.58,2,accreting,2024,2025,2.58,2,accreting,2.58,2.83,stable
4,0.5,2,stable,2024,2025,0.5,2,stable,0.5,2.83,stable
5,1.9,2,stable,2025,2024,-1.9,2,stable,-1.9,2.83,stable
6,3.07,2,accreting,2025,2024,-3.07,2,eroding,-3.07,2.83,eroding
7,1.85,2,stable,2025,2024,-1.85,2,stable,-1.85,2.83,stable
8,1.31,2,stable,2025,2024,-1.31,2,stable,-1.31,2.83,stable
9,1.64,2,stable,2025,2024,-1.64,2,stable,-1.64,2.83,stable
10,1.51,2,stable,2025,2024,-1.51,2,stable,-1.51,2.83,stable
11,1.85,2,stable,2025,2024,-1.85,2,stable,-1.85,2.83,stable
12,1.48,2,stable,2025,2024,-1.48,2,stable,-1.48,2.83,stable
13,1.86,2,stable,2025,2024,-1.86,2,stable,-1.86,2.83,stable
14,1.17,2,stable,2025,2024,-1.17,2,stable,-1.17,2.83,stable
15,1.45,2,stable,2025,2024,-1.45,2,stable,-1.45,2.83,stable
16,0.96,2,stable,2025,2024,-0.96,2,stable,-0.96,2.83,stable
17,0.04,2,stable,2024,2025,0.04,2,stable,0.04,2.83,stable
18,1.68,2,stable,2024,2025,1.68,2,stable,1.68,2.83,stable
19,2.45,2,accreting,2024,2025,2.45,2,accreting,2.45,2.83,stable
20,4.78,2,accreting,2024,2025,4.78,2,accreting,4.78,2.83,accreting
21,15.72,2,accreting,2025,2024,-15.72,2,eroding,-15.72,2.83,eroding
22,16.33,2,accreting,2025,2024,-16.33,2,eroding,-16.33,2.83,eroding
23,19.14,2,accreting,2025,2024,-19.14,2,eroding,-19.14,2.83,eroding
24,19.83,2,accreting,2025,2024,-19.83,2,eroding,-19.83,2.83,eroding
25,19.6,2,accreting,2025,2024,-19.6,2,eroding,-19.6,2.83,eroding
26,19.08,2,accreting,2025,2024,-19.08,2,eroding,-19.08,2.83,eroding
27,17.74,2,accreting,2025,2024,-17.74,2,eroding,-17.74,2.83,eroding
28,18.17,2,accreting,2025,2024,-18.17,2,eroding,-18.17,2.83,eroding
29,17.8,2,accreting,2025,2024,-17.8,2,eroding,-17.8,2.83,eroding
30,17.77,2,accreting,2025,2024,-17.77,2,eroding,-17.77,2.83,eroding
31,17.33,2,accreting,2025,2024,-17.33,2,eroding,-17.33,2.83,eroding
32,17.04,2,accreting,2025,2024,-17.04,2,eroding,-17.04,2.83,eroding
33,16.44,2,accreting,2025,2024,-16.44,2,eroding,-16.44,2.83,eroding
34,16.48,2,accreting,2025,2024,-16.48,2,eroding,-16.48,2.83,eroding
35,16,2,accreting,2025,2024,-16,2,eroding,-16,2.83,eroding
36,16.63,2,accreting,2025,2024,-16.63,2,eroding,-16.63,2.83,eroding
37,14.12,2,accreting,2025,2024,-14.12,2,eroding,-14.12,2.83,eroding
38,11.91,2,accreting,2025,2024,-11.91,2,eroding,-11.91,2.83,eroding
39,10.66,2,accreting,2025,2024,-10.66,2,eroding,-10.66,2.83,eroding
40,10.28,2,accreting,2025,2024,-10.28,2,eroding,-10.28,2.83,eroding
41,9.91,2,accreting,2025,2024,-9.91,2,eroding,-9.91,2.83,eroding
42,9.91,2,accreting,2025,2024,-9.91,2,eroding,-9.91,2.83,eroding
43,8.73,2,accreting,2025,2024,-8.73,2,eroding,-8.73,2.83,eroding
44,9.76,2,accreting,2025,2024,-9.76,2,eroding,-9.76,2.83,eroding
45,8.74,2,accreting,2025,2024,-8.74,2,eroding,-8.74,2.83,eroding
46,8.35,2,accreting,2025,2024,-8.35,2,eroding,-8.35,2.83,eroding
47,10.1,2,accreting,2025,2024,-10.1,2,eroding,-10.1,2.83,eroding
48,7.89,2,accreting,2025,2024,-7.89,2,eroding,-7.89,2.83,eroding
49,6.05,2,accreting,2025,2024,-6.05,2,eroding,-6.05,2.83,eroding
50,3.98,2,accreting,2025,2024,-3.98,2,eroding,-3.98,2.83,eroding
51,1.93,2,stable,2025,2024,-1.93,2,stable,-1.93,2.83,stable
52,1.06,2,stable,2025,2024,-1.06,2,stable,-1.06,2.83,stable
53,1.15,2,stable,2025,2024,-1.15,2,stable,-1.15,2.83,stable
54,0.24,2,stable,2024,2025,0.24,2,stable,0.24,2.83,stable
55,0.68,2,stable,2025,2024,-0.68,2,stable,-0.68,2.83,stable
56,0.05,2,stable,2024,2025,0.05,2,stable,0.05,2.83,stable
57,1.34,2,stable,2025,2024,-1.34,2,stable,-1.34,2.83,stable
58,3.64,2,accreting,2025,2024,-3.64,2,eroding,-3.64,2.83,eroding
59,6.56,2,accreting,2025,2024,-6.56,2,eroding,-6.56,2.83,eroding
60,7.6,2,accreting,2025,2024,-7.6,2,eroding,-7.6,2.83,eroding
61,7.87,2,accreting,2025,2024,-7.87,2,eroding,-7.87,2.83,eroding
62,7.16,2,accreting,2025,2024,-7.16,2,eroding,-7.16,2.83,eroding
63,3.61,2,accreting,2025,2024,-3.61,2,eroding,-3.61,2.83,eroding
64,3.02,2,accreting,2025,2024,-3.02,2,eroding,-3.02,2.83,eroding
65,2.45,2,accreting,2025,2024,-2.45,2,eroding,-2.45,2.83,stable
66,3.5,2,accreting,2025,2024,-3.5,2,eroding,-3.5,2.83,eroding
67,2.56,2,accreting,2025,2024,-2.56,2,eroding,-2.56,2.83,stable
68,2.11,2,accreting,2025,2024,-2.11,2,eroding,-2.11,2.83,stable
69,4.15,2,accreting,2025,2024,-4.15,2,eroding,-4.15,2.83,eroding
70,2.81,2,accreting,2025,2024,-2.81,2,eroding,-2.81,2.83,stable
71,5.61,2,accreting,2025,2024,-5.61,2,eroding,-5.61,2.83,eroding
72,9.69,2,accreting,2025,2024,-9.69,2,eroding,-9.69,2.83,eroding
73,11.31,2,accreting,2025,2024,-11.31,2,eroding,-11.31,2.83,eroding
74,12.29,2,accreting,2025,2024,-12.29,2,eroding,-12.29,2.83,eroding
75,12.37,2,accreting,2025,2024,-12.37,2,eroding,-12.37,2.83,eroding
76,12.46,2,accreting,2025,2024,-12.46,2,eroding,-12.46,2.83,eroding
77,12.75,2,accreting,2025,2024,-12.75,2,eroding,-12.75,2.83,eroding
78,13.75,2,accreting,2025,2024,-13.75,2,eroding,-13.75,2.83,eroding
79,14.32,2,accreting,2025,2024,-14.32,2,eroding,-14.32,2.83,eroding
80,14.78,2,accreting,2025,2024,-14.78,2,eroding,-14.78,2.83,eroding
81,15.21,2,accreting,2025,2024,-15.21,2,eroding,-15.21,2.83,eroding
82,15.14,2,accreting,2025,2024,-15.14,2,eroding,-15.14,2.83,eroding
83,15.06,2,accreting,2025,2024,-15.06,2,eroding,-15.06,2.83,eroding
84,14.73,2,accreting,2025,2024,-14.73,2,eroding,-14.73,2.83,eroding
85,15,2,accreting,2025,2024,-15,2,eroding,-15,2.83,eroding
86,15.44,2,accreting,2025,2024,-15.44,2,eroding,-15.44,2.83,eroding
87,15.07,2,accreting,2025,2024,-15.07,2,eroding,-15.07,2.83,eroding
88,14.63,2,accreting,2025,2024,-14.63,2,eroding,-14.63,2.83,eroding
89,13.4,2,accreting,2025,2024,-13.4,2,eroding,-13.4,2.83,eroding
90,13.04,2,accreting,2025,2024,-13.04,2,eroding,-13.04,2.83,eroding
91,12.57,2,accreting,2025,2024,-12.57,2,eroding,-12.57,2.83,eroding
92,11.91,2,accreting,2025,2024,-11.91,2,eroding,-11.91,2.83,eroding
93,12.01,2,accreting,2025,2024,-12.01,2,eroding,-12.01,2.83,eroding
94,12.78,2,accreting,2025,2024,-12.78,2,eroding,-12.78,2.83,eroding
95,13.85,2,accreting,2025,2024,-13.85,2,eroding,-13.85,2.83,eroding
96,14.55,2,accreting,2025,2024,-14.55,2,eroding,-14.55,2.83,eroding
97,12.77,2,accreting,2025,2024,-12.77,2,eroding,-12.77,2.83,eroding
98,13.39,2,accreting,2025,2024,-13.39,2,eroding,-13.39,2.83,eroding
99,14.04,2,accreting,2025,2024,-14.04,2,eroding,-14.04,2.83,eroding
100,15.46,2,accreting,2025,2024,-15.46,2,eroding,-15.46,2.83,eroding
101,15.44,2,accreting,2025,2024,-15.44,2,eroding,-15.44,2.83,eroding
102,15.16,2,accreting,2025,2024,-15.16,2,eroding,-15.16,2.83,eroding
103,10.61,2,accreting,2025,2024,-10.61,2,eroding,-10.61,2.83,eroding
104,13.33,2,accreting,2025,2024,-13.33,2,eroding,-13.33,2.83,eroding
105,12.6,2,accreting,2025,2024,-12.6,2,eroding,-12.6,2.83,eroding
106,12.02,2,accreting,2025,2024,-12.02,2,eroding,-12.02,2.83,eroding
107,12.29,2,accreting,2025,2024,-12.29,2,eroding,-12.29,2.83,eroding
108,13.38,2,accreting,2025,2024,-13.38,2,eroding,-13.38,2.83,eroding
109,14.69,2,accreting,2025,2024,-14.69,2,eroding,-14.69,2.83,eroding
110,15.23,2,accreting,2025,2024,-15.23,2,eroding,-15.23,2.83,eroding
111,17.62,2,accreting,2025,2024,-17.62,2,eroding,-17.62,2.83,eroding
112,19.75,2,accreting,2025,2024,-19.75,2,eroding,-19.75,2.83,eroding
113,19.38,2,accreting,2025,2024,-19.38,2,eroding,-19.38,2.83,eroding
114,17.27,2,accreting,2025,2024,-17.27,2,eroding,-17.27,2.83,eroding
115,16.64,2,accreting,2025,2024,-16.64,2,eroding,-16.64,2.83,eroding
116,15.57,2,accreting,2025,2024,-15.57,2,eroding,-15.57,2.83,eroding
117,15.11,2,accreting,2025,2024,-15.11,2,eroding,-15.11,2.83,eroding
118,14.65,2,accreting,2025,2024,-14.65,2,eroding,-14.65,2.83,eroding
119,14.08,2,accreting,2025,2024,-14.08,2,eroding,-14.08,2.83,eroding
120,13.13,2,accreting,2025,2024,-13.13,2,eroding,-13.13,2.83,eroding
121,12.81,2,accreting,2025,2024,-12.81,2,eroding,-12.81,2.83,eroding
122,12.85,2,accreting,2025,2024,-12.85,2,eroding,-12.85,2.83,eroding
123,11.67,2,accreting,2025,2024,-11.67,2,eroding,-11.67,2.83,eroding
124,9.83,2,accreting,2025,2024,-9.83,2,eroding,-9.83,2.83,eroding
125,9.28,2,accreting,2025,2024,-9.28,2,eroding,-9.28,2.83,eroding
126,7.71,2,accreting,2025,2024,-7.71,2,eroding,-7.71,2.83,eroding
127,5.07,2,accreting,2025,2024,-5.07,2,eroding,-5.07,2.83,eroding
128,4.13,2,accreting,2025,2024,-4.13,2,eroding,-4.13,2.83,eroding
129,2.45,2,accreting,2025,2024,-2.45,2,eroding,-2.45,2.83,stable
130,1.04,2,stable,2025,2024,-1.04,2,stable,-1.04,2.83,stable
131,0.97,2,stable,2024,2025,0.97,2,stable,0.97,2.83,stable
132,2.04,2,accreting,2024,2025,2.04,2,accreting,2.04,2.83,stable
133,2.21,2,accreting,2024,2025,2.21,2,accreting,2.21,2.83,stable
134,4.76,2,accreting,2024,2025,4.76,2,accreting,4.76,2.83,accreting
135,6.73,2,accreting,2024,2025,6.73,2,accreting,6.73,2.83,accreting
136,7.17,2,accreting,2024,2025,7.17,2,accreting,7.17,2.83,accreting
137,6.38,2,accreting,2024,2025,6.38,2,accreting,6.38,2.83,accreting
138,6.92,2,accreting,2024,2025,6.92,2,accreting,6.92,2.83,accreting
139,5.95,2,accreting,2024,2025,5.95,2,accreting,5.95,2.83,accreting
140,5.47,2,accreting,2024,2025,5.47,2,accreting,5.47,2.83,accreting
141,4.99,2,accreting,2024,2025,4.99,2,accreting,4.99,2.83,accreting
142,5.84,2,accreting,2024,2025,5.84,2,accreting,5.84,2.83,accreting
143,6.64,2,accreting,2024,2025,6.64,2,accreting,6.64,2.83,accreting
144,7.13,2,accreting,2024,2025,7.13,2,accreting,7.13,2.83,accreting
145,7.71,2,accreting,2024,2025,7.71,2,accreting,7.71,2.83,accreting
146,8.19,2,accreting,2024,2025,8.19,2,accreting,8.19,2.83,accreting
147,8.97,2,accreting,2024,2025,8.97,2,accreting,8.97,2.83,accreting
148,9.52,2,accreting,2024,2025,9.52,2,accreting,9.52,2.83,accreting
149,9.24,2,accreting,2024,2025,9.24,2,accreting,9.24,2.83,accreting
150,8.54,2,accreting,2024,2025,8.54,2,accreting,8.54,2.83,accreting
151,8.09,2,accreting,2024,2025,8.09,2,accreting,8.09,2.83,accreting
152,7.26,2,accreting,2024,2025,7.26,2,accreting,7.26,2.83,accreting
153,7.16,2,accreting,2024,2025,7.16,2,accreting,7.16,2.83,accreting
154,6.15,2,accreting,2024,2025,6.15,2,accreting,6.15,2.83,accreting
155,5.1,2,accreting,2024,2025,5.1,2,accreting,5.1,2.83,accreting
156,4.54,2,accreting,2024,2025,4.54,2,accreting,4.54,2.83,accreting
157,4.17,2,accreting,2024,2025,4.17,2,accreting,4.17,2.83,accreting
158,4,2,accreting,2024,2025,4,2,accreting,4,2.83,accreting
159,2.66,2,accreting,2024,2025,2.66,2,accreting,2.66,2.83,stable
160,1.77,2,stable,2024,2025,1.77,2,stable,1.77,2.83,stable
161,2.48,2,accreting,2024,2025,2.48,2,accreting,2.48,2.83,stable
162,4.22,2,accreting,2024,2025,4.22,2,accreting,4.22,2.83,accreting
