Transect,RMSE_deg,MAE_deg,RMSE_m,MAE_m
Transect_0,4.6549659103460386e-05,3.9748751214850294e-05,5.167012160484103,4.412111384848383
Transect_1,7.317796908587059e-05,6.332641704704606e-05,8.122754568531635,7.029232292222113
Transect_2,6.233745403518878e-05,5.3965913861789766e-05,6.919457397905955,5.990216438658664
Transect_3,4.806426532867473e-05,4.175841380888817e-05,5.3351334514828945,4.635183932786587
Transect_4,4.841758964574526e-05,3.646507247308695e-05,5.3743524506777245,4.047623044512651
Transect_5,4.144872359361353e-05,2.8473123286975298e-05,4.600808318891102,3.160516684854258
Transect_6,5.0044673071286115e-05,4.3028482059999024e-05,5.554958710912759,4.776161508659891
Transect_7,4.911218223138952e-05,4.3238057945203955e-05,5.4514522276842365,4.799424431917639
Transect_8,4.982610863587893e-05,4.3876810417347946e-05,5.530698058582561,4.8703259563256225
Transect_9,4.7836592455399485e-05,4.4415919487281346e-05,5.3098617625493425,4.93016706308823
Transect_10,4.6349222012592026e-05,4.285481041213437e-05,5.144763643397715,4.756883955746916
Transect_11,5.0229427837320343e-05,4.036962810391771e-05,5.575466489942558,4.481028719534866
Transect_12,5.244707236324475e-05,4.062462832727965e-05,5.821625032320167,4.509333744328041
Transect_13,6.476295635322791e-05,5.1348904846926556e-05,7.188688155208298,5.699728438008847
Transect_14,7.874220389796405e-05,6.483694642646387e-05,8.74038463267401,7.196901053337489
Transect_15,7.675173301002033e-05,6.578164500669213e-05,8.519442364112257,7.301762595742826
Transect_16,7.883301204303811e-05,6.504462016744077e-05,8.750464336777231,7.219952838585925
Transect_17,8.226838744656008e-05,6.670052157202455e-05,9.13179100656817,7.403757894494725
Transect_18,8.506006810812339e-05,6.624860129161416e-05,9.441667560001697,7.353594743369172
Transect_19,8.30735744778171e-05,6.41732604910506e-05,9.2211667670377,7.123231914506617
Transect_20,8.270178099297582e-05,6.402879834378343e-05,9.179897690220317,7.107196616159961
Transect_21,9.008732697733265e-05,7.448291184885224e-05,9.999693294483924,8.267603215222598
Transect_22,6.688550100583366e-05,5.425723662553829e-05,7.424290611647536,6.02255326543475
Transect_23,7.509603423432261e-05,6.194429673961476e-05,8.33565980000981,6.8758169380972385
Transect_24,6.464116640210579e-05,5.1626277079036984e-05,7.175169470633743,5.730516755773105
Transect_25,6.935535614694873e-05,6.19481589078714e-05,7.698444532311309,6.876245638773725
Transect_26,7.144579007839959e-05,6.150833370855816e-05,7.930482698702354,6.827425041649956
Transect_27,5.5021685674054265e-05,4.479961996360295e-05,6.1074071098200235,4.972757815959928
Transect_28,8.611871585922326e-05,7.669345658793005e-05,9.559177460373782,8.512973681260236
Transect_29,8.611458584631671e-05,7.23377434774503e-05,9.558719028941155,8.029489525996983
Transect_30,0.00010103514287790719,9.065850928880031e-05,11.214900859447697,10.063094531056835
