feature,driver,spearman_rho,spearman_p,kruskal_h,kruskal_p,mutual_info,composite_score
VSDY_mean__anom_peak_pos,VSDY_mean,-0.903251773241418,5.663936870492744e-05,9.756410256410263,0.04473703203440899,0.6871933621933626,3.8430297401225646
VSDY_mean__run_pos,VSDY_mean,-0.8575171964726488,0.0003622772914446651,8.369241192411932,0.07895131119146122,0.5523809523809529,3.3700559983293465
VSDY_mean__anom_abs_sum,VSDY_mean,-0.8528711962478728,0.0004218516701734176,8.679487179487182,0.06962956935380496,0.4350288600288603,3.2979775433666934
northward_wind_mean__run_pos,northward_wind_mean,-0.7930566197210217,0.002087053307121091,7.7666015625000036,0.1005118748820384,0.5343073593073597,3.1182032246394753
wind_speed_mean__p50,wind_speed_mean,0.66214472620088,0.018983402265791458,8.852564102564102,0.06489219937939204,0.5080447330447335,3.0201416915685098
VMDR_mean__p50,VMDR_mean,0.7269197537640096,0.007397898232092029,9.006410256410255,0.06093945460817589,0.3460317460317466,3.0149726904680785
VSDY_mean__anom_pos_months,VSDY_mean,-0.8497201388638065,0.0004664000345044602,8.487913486005093,0.07525443607029271,0.18344155844155852,3.0063497305145925
wind_speed_max__p50,wind_speed_max,0.66214472620088,0.018983402265791458,8.852564102564102,0.06489219937939204,0.4830447330447334,2.9951416915685094
VSDX_mean__p10,VSDX_mean,0.7557086549031783,0.004469675250900888,8.596153846153847,0.07202564714365468,0.20652958152958178,2.860459722264919
northward_wind_max__run_pos,northward_wind_max,-0.7930566197210217,0.002087053307121091,7.7666015625000036,0.1005118748820384,0.2682900432900437,2.8521859086221593
VHM0_mean__anom_mean,VHM0_mean,0.6657433388432762,0.018117538640099008,7.448717948717956,0.11399199077456759,0.5546536796536801,2.829266019022791
VSDX_mean__run_pos,VSDX_mean,0.6306432472878738,0.027905355113684648,6.274801587301586,0.17954434923918114,0.8189393939393944,2.826054147292683
VSDX_max__anom_neg_months,VSDX_max,-0.6850276056574804,0.013961941645455637,6.908493589743595,0.14080366329782498,0.5898629148629153,2.8113041721546725
northward_wind_max__anom_pos_months,northward_wind_max,-0.7412212292937744,0.005804954939506116,8.155289052890536,0.08605255641500424,0.25768398268398274,2.8053626645641097
northward_wind_mean__anom_pos_months,northward_wind_mean,-0.7412212292937744,0.005804954939506116,8.155289052890536,0.08605255641500424,0.25768398268398274,2.8053626645641097
VSDX_mean__anom_pos_months,VSDX_mean,0.6764666413954515,0.015708788081289712,8.29493464052287,0.08135259805893218,0.3450577200577203,2.787619575814528
VSDX_mean__run_neg,VSDX_mean,-0.7797439186705489,0.002782511209651422,6.774739583333339,0.14828193065843218,0.3935786435786439,2.781978248927206
VHM0_mean__anom_peak_neg,VHM0_mean,0.7449128169759901,0.005439463092755128,7.78846153846154,0.09964178723544638,0.271572871572872,2.7629569968172945
VSDX_mean__anom_peak_pos,VSDX_mean,0.7161239158368213,0.008801893805859315,7.602564102564102,0.10727077056162646,0.3171356421356424,2.7189020734899003
northward_wind_mean__p90,northward_wind_mean,-0.4750168687962835,0.11862455382051944,8.134615384615387,0.08676967862785931,0.6509740259740264,2.6626397746197026
VSDX_mean__anom_neg_months,VSDX_mean,-0.7402192434014984,0.0059072735465046725,6.724528301886796,0.1511816889048317,0.31450216450216484,2.615441458610426
northward_wind_max__p90,northward_wind_max,-0.4750168687962835,0.11862455382051944,8.134615384615387,0.08676967862785931,0.5903679653679659,2.602033714013642
VMDR_mean__p10,VMDR_mean,0.7053280779096333,0.010395903858012121,7.53846153846154,0.11002521175847411,0.198953823953824,2.5681177666745985
VSDX_max__p50,VSDX_max,0.6135524047014083,0.033846662828685356,8.261417556346379,0.08245810233322538,0.1670274170274173,2.477898890571463
VSDY_mean__p90,VSDY_mean,-0.701729465267237,0.010972115332928304,8.044871794871803,0.08994824380602043,0.005555555555556202,2.455021797701021
VTPK_mean__iqr,VTPK_mean,0.5110029952202445,0.08953657170537631,8.307692307692314,0.08093548752796759,0.26572871572871626,2.3795957190602812
VHM0_mean__anom_neg_months,VHM0_mean,-0.726433773347764,0.0074572276604015315,6.438653136531367,0.16869700652913155,0.15169552669552733,2.3774556971385037
wind_speed_mean__anom_peak_pos,wind_speed_mean,0.6477502756312957,0.02275180607257669,7.0064102564102555,0.1355498602196512,0.18077200577200592,2.3441734829633987
wind_speed_max__anom_peak_pos,wind_speed_max,0.6477502756312957,0.02275180607257669,7.0064102564102555,0.1355498602196512,0.1762265512265513,2.339628028417944
wind_speed_max__anom_pos_months,wind_speed_max,0.7132327315777182,0.009209517173974053,6.850967540574285,0.14397664627787132,0.035317460317460636,2.303490870368943
VHM0_mean__anom_pos_months,VHM0_mean,0.5653861612457259,0.0553924234853016,7.882326007326013,0.09598510322173202,0.14906204906204956,2.2976305352865993
VMDR_mean__anom_neg_months,VMDR_mean,-0.6812733176437583,0.014709333757843914,6.293833333333339,0.17825296596844314,0.1849567099567102,2.2964665803896303
northward_wind_max__anom_mean,northward_wind_max,-0.5829752480681661,0.04665076405445745,6.75,0.1497042676135389,0.3040043290043293,2.2947206442029033
zos_max__p90,zos_max,0.45342519294190703,0.1387530762113015,8.134615384615387,0.08676967862785931,0.30018037518037555,2.2686627721172985
wind_speed_mean__anom_pos_months,wind_speed_mean,0.7132327315777182,0.009209517173974053,6.850967540574285,0.14397664627787132,0.0,2.2681734100514825
zos_mean__p90,zos_mean,0.45342519294190703,0.1387530762113015,8.134615384615387,0.08676967862785931,0.2850288600288604,2.2535112569657834
eastward_wind_mean__anom_pos_months,eastward_wind_mean,0.6666768415991947,0.01789773802423703,6.33272283272284,0.17564008954312793,0.1595598845598849,2.248289917915592
zos_max__anom_peak_neg,zos_max,0.38865016537877745,0.21182446931281418,6.923076923076927,0.14000952703283903,0.5945165945165949,2.2256593367569737
northward_wind_mean__anom_mean,northward_wind_mean,-0.5829752480681661,0.04665076405445745,6.75,0.1497042676135389,0.22824675324675336,2.2189630684453276
VSDY_max__p10,VSDY_max,-0.38447385459627204,0.21720386406074454,7.718942189421893,0.10243349799958311,0.4439754689754696,2.202481174479455
VHM0_mean__run_pos,VHM0_mean,0.6345447650272826,0.026662435787513903,6.583823529411771,0.1595848539979057,0.125505050505051,2.191602909941114
VMDR_mean__anom_abs_sum,VMDR_mean,-0.42103767916034224,0.17287101608831032,7.78846153846154,0.09964178723544638,0.3425324675324679,2.1861663171455943
VSDX_max__run_neg,VSDX_max,-0.5800851623197331,0.0480152891087835,5.647188346883478,0.22709126131340704,0.380699855699856,2.184669757858697
VTPK_mean__late_minus_early,VTPK_mean,-0.5253974457898288,0.079394478992384,6.5448717948717885,0.16198496364451756,0.30292207792207826,2.1442422667421637
eastward_wind_max__p50,eastward_wind_max,0.5973696986377506,0.04025961934907364,6.641025641025635,0.15611869169172954,0.141486291486292,2.142770785615873
