feature,boundary,end_year,decimal_year,threshold,direction_to_accretion
VSDY_mean__anom_peak_pos,severe_erosion,2019,2019.5,0.37455427929233487,inverse
VSDY_mean__anom_peak_pos,severe_erosion,2020,2020.5,0.37455427929233487,inverse
VSDY_mean__anom_peak_pos,erosion_onset,2020,2020.5,0.37455427929233487,inverse
VSDY_mean__anom_peak_pos,accretion_onset,2020,2020.5,2.170426824414692,inverse
VSDY_mean__anom_peak_pos,severe_erosion,2021,2021.5,0.37455427929233487,inverse
VSDY_mean__anom_peak_pos,erosion_onset,2021,2021.5,0.37455427929233487,inverse
VSDY_mean__anom_peak_pos,accretion_onset,2021,2021.5,2.170426824414692,inverse
VSDY_mean__anom_peak_pos,severe_erosion,2022,2022.5,0.37455427929233487,inverse
VSDY_mean__anom_peak_pos,erosion_onset,2022,2022.5,1.4116706741004963,inverse
VSDY_mean__anom_peak_pos,accretion_onset,2022,2022.5,2.170426824414692,inverse
VSDY_mean__anom_peak_pos,severe_erosion,2023,2023.5,0.28694632618366017,inverse
VSDY_mean__anom_peak_pos,erosion_onset,2023,2023.5,2.6960745430667403,inverse
VSDY_mean__anom_peak_pos,accretion_onset,2023,2023.5,2.6960745430667403,inverse
VSDX_mean__p10,severe_erosion,2019,2019.5,-0.007939789655525237,direct
VSDX_mean__p10,severe_erosion,2020,2020.5,-0.007618072886019944,direct
VSDX_mean__p10,erosion_onset,2020,2020.5,0.001550855044880884,direct
VSDX_mean__p10,accretion_onset,2020,2020.5,-0.0003794455721508692,direct
VSDX_mean__p10,severe_erosion,2021,2021.5,-0.008172307461500166,direct
VSDX_mean__p10,erosion_onset,2021,2021.5,0.0008387927599251294,direct
VSDX_mean__p10,accretion_onset,2021,2021.5,0.0016284252535551814,direct
VSDX_mean__p10,severe_erosion,2022,2022.5,-0.008358103342354296,direct
VSDX_mean__p10,erosion_onset,2022,2022.5,0.0003278540875762716,direct
VSDX_mean__p10,accretion_onset,2022,2022.5,0.0030683433301746874,direct
VSDX_mean__p10,severe_erosion,2023,2023.5,-0.006221450712531804,direct
VSDX_mean__p10,erosion_onset,2023,2023.5,0.0004672009982168695,direct
VSDX_mean__p10,accretion_onset,2023,2023.5,0.0030683433301746874,direct
VMDR_mean__p50,severe_erosion,2019,2019.5,180.9317608757019,direct
VMDR_mean__p50,severe_erosion,2020,2020.5,181.12909905242918,direct
VMDR_mean__p50,erosion_onset,2020,2020.5,210.65418853759766,direct
VMDR_mean__p50,accretion_onset,2020,2020.5,178.3863311767578,direct
VMDR_mean__p50,severe_erosion,2021,2021.5,181.85512584304809,direct
VMDR_mean__p50,erosion_onset,2021,2021.5,203.87793849182128,direct
VMDR_mean__p50,accretion_onset,2021,2021.5,200.24780453872683,direct
VMDR_mean__p50,severe_erosion,2022,2022.5,182.2584740600586,direct
VMDR_mean__p50,erosion_onset,2022,2022.5,200.5704831123352,direct
VMDR_mean__p50,accretion_onset,2022,2022.5,204.44262599563598,direct
VMDR_mean__p50,severe_erosion,2023,2023.5,187.25999195098876,direct
VMDR_mean__p50,erosion_onset,2023,2023.5,200.4898134689331,direct
VMDR_mean__p50,accretion_onset,2023,2023.5,204.44262599563598,direct
VHM0_mean__anom_peak_neg,severe_erosion,2019,2019.5,-2.3532416174776296,direct
VHM0_mean__anom_peak_neg,severe_erosion,2020,2020.5,-2.2551910726918534,direct
VHM0_mean__anom_peak_neg,erosion_onset,2020,2020.5,-1.098194644219697,direct
VHM0_mean__anom_peak_neg,accretion_onset,2020,2020.5,-1.1831717830340363,direct
VHM0_mean__anom_peak_neg,severe_erosion,2021,2021.5,-2.294411290606164,direct
VHM0_mean__anom_peak_neg,erosion_onset,2021,2021.5,-1.41195638753418,direct
VHM0_mean__anom_peak_neg,accretion_onset,2021,2021.5,-1.0524377233196682,direct
VHM0_mean__anom_peak_neg,severe_erosion,2022,2022.5,-2.26826447866329,direct
VHM0_mean__anom_peak_neg,erosion_onset,2022,2022.5,-1.4838601203770825,direct
VHM0_mean__anom_peak_neg,accretion_onset,2022,2022.5,-0.8955568516624266,direct
VHM0_mean__anom_peak_neg,severe_erosion,2023,2023.5,-2.0067963592345546,direct
VHM0_mean__anom_peak_neg,erosion_onset,2023,2023.5,-1.4642500114199273,direct
VHM0_mean__anom_peak_neg,accretion_onset,2023,2023.5,-0.8955568516624266,direct
zos_max__anom_peak_neg,severe_erosion,2019,2019.5,-2.2215125377220892,direct
zos_max__anom_peak_neg,severe_erosion,2020,2020.5,-2.5388388669837334,direct
zos_max__anom_peak_neg,erosion_onset,2020,2020.5,-0.06299177708162507,direct
zos_max__anom_peak_neg,accretion_onset,2020,2020.5,-2.5388388669837334,direct
zos_max__anom_peak_neg,severe_erosion,2021,2021.5,0.48019119020356765,direct
zos_max__anom_peak_neg,erosion_onset,2021,2021.5,0.48019119020356765,direct
zos_max__anom_peak_neg,accretion_onset,2021,2021.5,-1.805335815321535,direct
zos_max__anom_peak_neg,severe_erosion,2022,2022.5,0.48019119020356765,direct
zos_max__anom_peak_neg,erosion_onset,2022,2022.5,-0.2971989477301409,direct
zos_max__anom_peak_neg,accretion_onset,2022,2022.5,-0.6625723125589835,direct
zos_max__anom_peak_neg,severe_erosion,2023,2023.5,-2.3028655035991084,direct
zos_max__anom_peak_neg,erosion_onset,2023,2023.5,-0.35939015876483715,direct
zos_max__anom_peak_neg,accretion_onset,2023,2023.5,-0.6392506084209724,direct
