feature,driver,screening_score,spearman_rho,direction_to_accretion,threshold_method,severe_erosion_threshold,severe_erosion_low_95,severe_erosion_high_95,severe_erosion_boot_n,erosion_onset_threshold,erosion_onset_low_95,erosion_onset_high_95,erosion_onset_boot_n,accretion_onset_threshold,accretion_onset_low_95,accretion_onset_high_95,accretion_onset_boot_n,strong_accretion_threshold,strong_accretion_low_95,strong_accretion_high_95,strong_accretion_boot_n,eroded_high_count,eroded_high_q25,eroded_high_median,eroded_high_q75,eroded_low_count,eroded_low_q25,eroded_low_median,eroded_low_q75,stable_count,stable_q25,stable_median,stable_q75,accreted_low_count,accreted_low_q25,accreted_low_median,accreted_low_q75,accreted_high_count,accreted_high_q25,accreted_high_median,accreted_high_q75
VSDY_mean__anom_peak_pos,VSDY_mean,3.7787235592410227,-0.901074500668774,inverse,ordered_logit,0.28694632618366017,0.28694632618366017,1.107867088011501,137,2.6960745430667403,0.37455427929233487,2.6960745430667403,145,2.6960745430667403,2.119025060316308,2.6960745430667403,140,,,,0,2,1.993632179377569,2.1130592426604795,2.23248630594339,4,1.5067085212869968,1.5972199437577212,1.7342935524591185,3,0.8497442123616776,0.9332921728615561,1.1921461624896221,3,0.709422667228285,0.7877378344324697,0.8465213632905288,0,,,
VSDX_mean__p10,VSDX_mean,3.4046358797733736,0.7490860306764507,direct,ordered_logit,-0.006221450712531804,-0.01006742544621229,0.0066599374394863825,137,0.0004672009982168695,-0.005437010467052459,0.006936888033524156,145,0.0030683433301746874,-0.011191490525379776,0.00646376305278391,140,,,,0,2,-0.0036208885721862307,-0.003462312743067741,-0.003303736913949251,4,-0.006365162529982626,-0.003588570334250107,-0.0012530673418950753,3,0.0026573588023893536,0.004357862751930952,0.004545866721309721,3,0.0025193691311869775,0.002895161183550954,0.002923891076352448,0,,,
VMDR_mean__p50,VMDR_mean,3.17062991701562,0.7056607535357869,direct,ordered_logit,187.25999195098876,179.8383847579956,209.93799743652343,137,200.4898134689331,181.4486370010376,210.65418853759766,145,204.44262599563598,178.3863311767578,209.3372566090584,140,,,,0,2,190.1333236694336,193.68966674804688,197.24600982666016,4,191.07459831237793,193.8074722290039,194.93218612670898,3,205.0017204284668,205.2008056640625,205.62265014648438,3,202.3359832763672,203.25487518310547,204.40558242797852,0,,,
VHM0_mean__anom_peak_neg,VHM0_mean,3.1190601084423344,0.7382297113912848,direct,ordered_logit,-2.0067963592345546,-2.4689269954801083,-0.07193227546190817,137,-1.4642500114199273,-2.551878432607851,-0.07193227546190817,145,-0.8955568516624266,-2.686613469749268,-0.5742058679868877,140,,,,0,2,-1.624434835831291,-1.5095957924225156,-1.3947567490137402,4,-1.9434469977438051,-1.7356591034226616,-1.6220292544327586,3,-1.441939641695762,-1.1996139958048337,-1.0990131836327737,3,-0.6926066694864523,-0.6430875548177446,-0.5442728575889235,0,,,
zos_max__anom_peak_neg,zos_max,3.0086899736324177,0.466821729262136,direct,ordered_logit,-2.3028655035991084,-2.6243502572159976,0.48019119020356765,137,-0.35939015876483715,-2.629369361531266,0.48019119020356765,145,-0.6392506084209724,-2.629369361531266,0.40361826161709774,140,,,,0,2,-2.036304079260981,-1.887461732952815,-1.7386193866446493,4,-1.5225138507595242,-1.217128922651086,-0.9287160338854202,3,-0.22172738409780812,-0.0267705496994042,0.004598852271022184,3,-1.4058061990376383,-1.3828842922111744,-1.2944367284275073,0,,,
wind_speed_max__p50,wind_speed_max,3.00676869439635,0.6369040647297359,direct,ordered_logit,2.674040109634399,2.4132866380929947,4.83199987411499,137,3.6695275009870527,2.539476123857498,4.83199987411499,145,3.964962468743324,2.263000154495239,4.7704191459596155,140,,,,0,2,2.88250008225441,3.1350000500679016,3.3875000178813934,4,2.974999964237213,3.0699999928474426,3.158749997615814,3,3.9549999833106995,4.164999961853027,4.314999938011169,3,3.590000033378601,3.700000047683716,3.8700000643730164,0,,,
wind_speed_mean__p50,wind_speed_mean,3.002469752597408,0.6369040647297359,direct,ordered_logit,2.674040109634399,2.4132866380929947,4.83199987411499,137,3.6695275009870527,2.539476123857498,4.83199987411499,145,3.964962468743324,2.263000154495239,4.7704191459596155,140,,,,0,2,2.88250008225441,3.1350000500679016,3.3875000178813934,4,2.974999964237213,3.0699999928474426,3.158749997615814,3,3.9549999833106995,4.164999961853027,4.314999938011169,3,3.590000033378601,3.700000047683716,3.8700000643730164,0,,,
VHM0_mean__anom_mean,VHM0_mean,2.839953698814491,0.694804434250621,direct,ordered_logit,-0.6311641394570463,-0.8562268383800254,0.9395669406064316,137,0.03439987751900375,-1.1902379137169283,0.9395669406064316,145,0.41244023916140016,-1.1902379137169283,0.8117032386548193,140,,,,0,2,-0.5528441899265799,-0.21970830246814016,0.11342758499029965,4,-0.5016597313678232,-0.4037208803003174,-0.25803716578214864,3,0.21319792758417605,0.23710185201284192,0.34526084124222567,3,0.4531539545699036,0.5639277184988982,0.5996184113867107,0,,,
zos_mean__anom_peak_neg,zos_mean,2.834285211727656,0.466821729262136,direct,ordered_logit,-2.3028655035991084,-2.6243502572159976,0.48019119020356765,137,-0.35939015876483715,-2.629369361531266,0.48019119020356765,145,-0.6392506084209724,-2.629369361531266,0.40361826161709774,140,,,,0,2,-2.036304079260981,-1.887461732952815,-1.7386193866446493,4,-1.5225138507595242,-1.217128922651086,-0.9287160338854202,3,-0.22172738409780812,-0.0267705496994042,0.004598852271022184,3,-1.4058061990376383,-1.3828842922111744,-1.2944367284275073,0,,,
northward_wind_max__anom_pos_months,northward_wind_max,2.8271324892561487,-0.7212095250063463,inverse,ordered_logit,5.141500000000001,-0.8,7.75075,101,1.3929999999999998,-1.4000000000000001,6.15,106,0.4375,-1.3510000000000009,8.4,102,,,,0,2,2.5,3.0,3.5,4,2.75,3.0,4.0,3,0.0,0.0,0.5,3,0.0,0.0,1.0,0,,,
