feature,boundary,horizon,target_date,predicted_threshold,low_95,high_95,direction_to_accretion,history_points
VSDY_mean__anom_peak_pos,severe_erosion,H6,2024-08,0.1908457582229346,-1.535804477794369,0.3745645087127802,inverse,5
VSDY_mean__anom_peak_pos,severe_erosion,H12,2025-02,0.1473304129096107,-1.8455923843493622,0.3745669144848592,inverse,5
VSDY_mean__anom_peak_pos,severe_erosion,H18,2025-08,0.1038150675963152,-2.1553802909041395,0.3745693202569382,inverse,5
VSDY_mean__anom_peak_pos,severe_erosion,H24,2026-02,0.0602997222829913,-2.465168197459133,0.3745717260290171,inverse,5
VSDY_mean__anom_peak_pos,strong_accretion,H6,2024-08,2.1704302643382416,2.170426880022087,2.885891084611475,inverse,5
VSDY_mean__anom_peak_pos,strong_accretion,H12,2025-02,2.1704307442442805,2.1704268891131786,2.973498953287314,inverse,5
VSDY_mean__anom_peak_pos,strong_accretion,H18,2025-08,2.1704312241503194,2.17042689820427,3.061106821963153,inverse,5
VSDY_mean__anom_peak_pos,strong_accretion,H24,2026-02,2.170431704056358,2.170426907295362,3.148714690638937,inverse,5
VSDY_mean__anom_peak_pos,erosion_onset,H6,2024-08,2.7722255678587544,2.1704269674909096,3.0021547995394293,inverse,4
VSDY_mean__anom_peak_pos,erosion_onset,H12,2025-02,2.8525736013360756,2.1704270018292022,3.1434226145494035,inverse,4
VSDY_mean__anom_peak_pos,erosion_onset,H18,2025-08,2.932921634813397,2.170427036167495,3.2846904295593604,inverse,4
VSDY_mean__anom_peak_pos,erosion_onset,H24,2026-02,3.0132696682906612,2.170427070505787,3.4259582445692294,inverse,4
VSDY_mean__anom_peak_pos,accretion_onset,H6,2024-08,2.7722255678587544,2.1704269674909096,3.0021547995394293,inverse,4
VSDY_mean__anom_peak_pos,accretion_onset,H12,2025-02,2.8525736013360756,2.1704270018292022,3.1434226145494035,inverse,4
VSDY_mean__anom_peak_pos,accretion_onset,H18,2025-08,2.932921634813397,2.170427036167495,3.2846904295593604,inverse,4
VSDY_mean__anom_peak_pos,accretion_onset,H24,2026-02,3.0132696682906612,2.170427070505787,3.4259582445692294,inverse,4
wind_speed_mean__p50,severe_erosion,H6,2024-08,3.516405010240433,3.320590768559251,3.5550206449505177,direct,5
wind_speed_mean__p50,severe_erosion,H12,2025-02,3.536819553062969,3.321410836052137,3.577985309658488,direct,5
wind_speed_mean__p50,severe_erosion,H18,2025-08,3.5572340958855193,3.3222309035450226,3.600949974366473,direct,5
wind_speed_mean__p50,severe_erosion,H24,2026-02,3.5776486387080553,3.3230509710379086,3.6239146390744432,direct,5
wind_speed_mean__p50,strong_accretion,H6,2024-08,4.574729009037185,4.077829873715276,4.779938387005305,direct,5
wind_speed_mean__p50,strong_accretion,H12,2025-02,4.624681564355825,4.078836952260652,4.849823036252194,direct,5
wind_speed_mean__p50,strong_accretion,H18,2025-08,4.674634119674437,4.079844030806028,4.919707685499136,direct,5
wind_speed_mean__p50,strong_accretion,H24,2026-02,4.724586674993077,4.080851109351405,4.989592334746026,direct,5
wind_speed_mean__p50,erosion_onset,H6,2024-08,3.2758031115307062,3.0432830698581697,3.6176903693749853,direct,4
wind_speed_mean__p50,erosion_onset,H12,2025-02,3.217351917868683,2.953498619214275,3.618235305672285,direct,4
wind_speed_mean__p50,erosion_onset,H18,2025-08,3.15890072420666,2.8637141685703242,3.618780241969586,direct,4
wind_speed_mean__p50,erosion_onset,H24,2026-02,3.1004495305446085,2.7739297179264297,3.6193251782668856,direct,4
wind_speed_mean__p50,accretion_onset,H6,2024-08,4.640570849121218,3.99907942790385,5.2229731497379985,direct,4
wind_speed_mean__p50,accretion_onset,H12,2025-02,4.781225120321665,4.000415158531586,5.439443125075985,direct,4
wind_speed_mean__p50,accretion_onset,H18,2025-08,4.921879391522111,4.0017508891593225,5.655913100413971,direct,4
wind_speed_mean__p50,accretion_onset,H24,2026-02,5.062533662722558,4.00308661978706,5.872383075751958,direct,4
VMDR_mean__p50,severe_erosion,H6,2024-08,196.50458450178866,196.35147979534355,196.65326440194673,direct,5
VMDR_mean__p50,severe_erosion,H12,2025-02,196.51466119857142,196.34593775218832,196.67737868159918,direct,5
VMDR_mean__p50,severe_erosion,H18,2025-08,196.52473789535418,196.34039570903306,196.70506303986738,direct,5
VMDR_mean__p50,severe_erosion,H24,2026-02,196.53481459213694,196.3348536658778,196.74539794329186,direct,5
VMDR_mean__p50,strong_accretion,H6,2024-08,178.321197139935,167.87014665771758,193.413419332075,direct,5
VMDR_mean__p50,strong_accretion,H12,2025-02,178.30519339882142,163.01652325987362,193.4611855486749,direct,5
VMDR_mean__p50,strong_accretion,H18,2025-08,178.28918965770782,158.162899715172,193.50895176527482,direct,5
VMDR_mean__p50,strong_accretion,H24,2026-02,178.27318591659423,153.3092761704739,193.55671798187473,direct,5
VMDR_mean__p50,erosion_onset,H6,2024-08,173.37287701168498,165.5200272768612,200.95514721420366,direct,4
VMDR_mean__p50,erosion_onset,H12,2025-02,169.3280601251481,159.58173316374123,201.00444361287387,direct,4
VMDR_mean__p50,erosion_onset,H18,2025-08,165.28324323860943,153.64343905062123,201.0537400115441,direct,4
VMDR_mean__p50,erosion_onset,H24,2026-02,161.23842635207257,147.70514493750125,201.10303641021434,direct,4
VMDR_mean__p50,accretion_onset,H6,2024-08,178.3863313753611,159.44717566682075,207.3046473785052,direct,4
VMDR_mean__p50,accretion_onset,H12,2025-02,178.38633126773016,153.3452709119315,207.85112647701516,direct,4
VMDR_mean__p50,accretion_onset,H18,2025-08,178.38633116009922,146.6761868630603,208.39760557552538,direct,4
VMDR_mean__p50,accretion_onset,H24,2026-02,178.3863310524683,139.5434778453836,208.9440846740353,direct,4
wind_speed_max__p50,severe_erosion,H6,2024-08,3.516405010240433,3.320590768559251,3.5550206449505177,direct,5
wind_speed_max__p50,severe_erosion,H12,2025-02,3.536819553062969,3.321410836052137,3.577985309658488,direct,5
wind_speed_max__p50,severe_erosion,H18,2025-08,3.5572340958855193,3.3222309035450226,3.600949974366473,direct,5
wind_speed_max__p50,severe_erosion,H24,2026-02,3.5776486387080553,3.3230509710379086,3.6239146390744432,direct,5
wind_speed_max__p50,strong_accretion,H6,2024-08,4.574729009037185,4.077829873715276,4.779938387005305,direct,5
wind_speed_max__p50,strong_accretion,H12,2025-02,4.624681564355825,4.078836952260652,4.849823036252194,direct,5
wind_speed_max__p50,strong_accretion,H18,2025-08,4.674634119674437,4.079844030806028,4.919707685499136,direct,5
wind_speed_max__p50,strong_accretion,H24,2026-02,4.724586674993077,4.080851109351405,4.989592334746026,direct,5
wind_speed_max__p50,erosion_onset,H6,2024-08,3.2758031115307062,3.0432830698581697,3.6176903693749853,direct,4
wind_speed_max__p50,erosion_onset,H12,2025-02,3.217351917868683,2.953498619214275,3.618235305672285,direct,4
wind_speed_max__p50,erosion_onset,H18,2025-08,3.15890072420666,2.8637141685703242,3.618780241969586,direct,4
wind_speed_max__p50,erosion_onset,H24,2026-02,3.1004495305446085,2.7739297179264297,3.6193251782668856,direct,4
