feature,horizon,target_date,direction_to_accretion,accretion_onset,erosion_onset,severe_erosion,strong_accretion
VHM0_mean__anom_mean,H12,2025-02,direct,1.099618518688544,-0.7142591383357058,-0.0941298434300677,-0.8697225278605468
VHM0_mean__anom_mean,H18,2025-08,direct,1.236749171691713,-0.8555844540234148,-0.11265461012592937,-0.8697220557063915
VHM0_mean__anom_mean,H24,2026-02,direct,1.3738798246948818,-0.9969097697112375,-0.13117937682179104,-0.8697215835522363
VHM0_mean__anom_mean,H6,2024-08,direct,0.9624878656853753,-0.5729338226478831,-0.07560507673420602,-0.869723000014702
VHM0_mean__anom_peak_neg,H12,2025-02,direct,-2.686613416109843,-1.8149415643183886,0.15100598460583115,-2.6866134697492683
VHM0_mean__anom_peak_neg,H18,2025-08,direct,-2.686613479571854,-1.8707478214799949,0.3046312639066855,-2.6866134697492687
VHM0_mean__anom_peak_neg,H24,2026-02,direct,-2.6866135430338653,-1.9265540786415727,0.45825654320753983,-2.6866134697492687
VHM0_mean__anom_peak_neg,H6,2024-08,direct,-2.6866133526478317,-1.7591353071567823,-0.0026192946950232,-2.6866134697492683
VMDR_mean__p50,H12,2025-02,direct,178.38633126773016,169.3280601251481,196.51466119857142,178.30519339882142
VMDR_mean__p50,H18,2025-08,direct,178.38633116009922,165.28324323860943,196.52473789535418,178.28918965770782
VMDR_mean__p50,H24,2026-02,direct,178.3863310524683,161.23842635207257,196.53481459213694,178.27318591659423
VMDR_mean__p50,H6,2024-08,direct,178.3863313753611,173.37287701168498,196.50458450178866,178.321197139935
VSDX_mean__p10,H12,2025-02,direct,-0.009170762177072037,-0.0009596864749218392,-0.00271081653334046,-0.01140974135568057
VSDX_mean__p10,H18,2025-08,direct,-0.009164199841287204,-0.0011300001544630733,-0.002687857338145541,-0.011461682817520802
VSDX_mean__p10,H24,2026-02,direct,-0.009157637505502369,-0.0013003138340041964,-0.0026648981429506224,-0.011513624279361034
VSDX_mean__p10,H6,2024-08,direct,-0.009177324512856869,-0.0007893727953807161,-0.0027337757285353786,-0.011357799893840337
VSDY_mean__anom_peak_pos,H12,2025-02,inverse,2.8525736013360756,2.8525736013360756,0.1473304129096107,2.1704307442442805
VSDY_mean__anom_peak_pos,H18,2025-08,inverse,2.932921634813397,2.932921634813397,0.1038150675963152,2.1704312241503194
VSDY_mean__anom_peak_pos,H24,2026-02,inverse,3.0132696682906612,3.0132696682906612,0.0602997222829913,2.170431704056358
VSDY_mean__anom_peak_pos,H6,2024-08,inverse,2.7722255678587544,2.7722255678587544,0.1908457582229346,2.1704302643382416
wind_speed_max__p50,H12,2025-02,direct,4.781225120321665,3.217351917868683,3.536819553062969,4.624681564355825
wind_speed_max__p50,H18,2025-08,direct,4.921879391522111,3.15890072420666,3.5572340958855193,4.674634119674437
wind_speed_max__p50,H24,2026-02,direct,5.062533662722558,3.1004495305446085,3.5776486387080553,4.724586674993077
wind_speed_max__p50,H6,2024-08,direct,4.640570849121218,3.2758031115307062,3.516405010240433,4.574729009037185
wind_speed_mean__p50,H12,2025-02,direct,4.781225120321665,3.217351917868683,3.536819553062969,4.624681564355825
wind_speed_mean__p50,H18,2025-08,direct,4.921879391522111,3.15890072420666,3.5572340958855193,4.674634119674437
wind_speed_mean__p50,H24,2026-02,direct,5.062533662722558,3.1004495305446085,3.5776486387080553,4.724586674993077
wind_speed_mean__p50,H6,2024-08,direct,4.640570849121218,3.2758031115307062,3.516405010240433,4.574729009037185
