monsoon_year,year_month,wind_speed_max,wind_speed_mean,eastward_wind_max,eastward_wind_mean,northward_wind_max,northward_wind_mean
2011,2012-01,3.07,3.07,0.28,0.28,-1.3,-1.3
2011,2012-02,2.59,2.59,0.13,0.13,-0.02,-0.02
2011,2012-03,2.94,2.94,0.99,0.99,0.92,0.92
2012,2012-04,3.18,3.18,1.44,1.44,1.83,1.83
2012,2012-05,5.57,5.57,4.91,4.91,2.35,2.35
2012,2012-06,5.96,5.96,5.29,5.29,2.19,2.19
2012,2012-07,6.0,6.0,5.65,5.65,1.06,1.06
2012,2012-08,5.18,5.18,4.33,4.33,2.05,2.05
2012,2012-09,4.84,4.84,3.84,3.84,2.22,2.22
2012,2012-10,3.81,3.81,1.36,1.36,1.39,1.39
2012,2012-11,3.36,3.36,0.34,0.34,-1.22,-1.22
2012,2012-12,3.29,3.29,-0.37,-0.37,-1.67,-1.67
2012,2013-01,4.07,4.07,-0.42,-0.42,-3.24,-3.24
2012,2013-02,2.91,2.91,0.08,0.08,-0.93,-0.93
2012,2013-03,2.54,2.54,-0.12,-0.12,0.47,0.47
2013,2013-04,3.01,3.01,1.58,1.58,1.08,1.08
2013,2013-05,5.32,5.32,4.49,4.49,2.16,2.16
2013,2013-06,6.35,6.35,6.1,6.1,0.78,0.78
2013,2013-07,5.64,5.64,5.41,5.41,0.87,0.87
2013,2013-08,5.53,5.53,5.01,5.01,0.62,0.62
2013,2013-09,5.51,5.51,4.77,4.77,2.11,2.11
2013,2013-10,4.49,4.49,3.73,3.73,1.55,1.55
2013,2013-11,3.07,3.07,-0.05,-0.05,-1.45,-1.45
2013,2013-12,4.3,4.3,-0.55,-0.55,-3.51,-3.51
2013,2014-01,3.88,3.88,-0.26,-0.26,-2.24,-2.24
2013,2014-02,3.24,3.24,1.55,1.55,0.77,0.77
2013,2014-03,3.19,3.19,1.37,1.37,0.47,0.47
2014,2014-04,2.82,2.82,1.03,1.03,1.31,1.31
2014,2014-05,4.48,4.48,3.14,3.14,2.45,2.45
2014,2014-06,5.96,5.96,5.72,5.72,0.34,0.34
2014,2014-07,6.04,6.04,5.94,5.94,0.17,0.17
2014,2014-08,5.14,5.14,4.59,4.59,1.59,1.59
2014,2014-09,4.9,4.9,3.85,3.85,2.25,2.25
2014,2014-10,3.32,3.32,1.99,1.99,0.56,0.56
2014,2014-11,3.54,3.54,0.58,0.58,-1.56,-1.56
2014,2014-12,4.15,4.15,-0.09,-0.09,-2.99,-2.99
2014,2015-01,3.16,3.16,0.31,0.31,-1.28,-1.28
2014,2015-02,2.92,2.92,0.06,0.06,-0.39,-0.39
2014,2015-03,2.81,2.81,0.33,0.33,1.08,1.08
2015,2015-04,2.92,2.92,0.21,0.21,1.21,1.21
2015,2015-05,4.4,4.4,3.19,3.19,2.54,2.54
2015,2015-06,4.8,4.8,3.97,3.97,1.81,1.81
2015,2015-07,5.97,5.97,5.71,5.71,1.07,1.07
2015,2015-08,5.38,5.38,4.53,4.53,1.84,1.84
2015,2015-09,4.7,4.7,2.99,2.99,2.84,2.84
2015,2015-10,3.6,3.6,1.05,1.05,0.32,0.32
2015,2015-11,3.36,3.36,0.69,0.69,-0.91,-0.91
2015,2015-12,2.69,2.69,-0.23,-0.23,-0.49,-0.49
2015,2016-01,3.21,3.21,-0.12,-0.12,-1.44,-1.44
2015,2016-02,2.84,2.84,0.42,0.42,0.16,0.16
2015,2016-03,3.05,3.05,1.06,1.06,1.36,1.36
2016,2016-04,3.46,3.46,0.45,0.45,2.47,2.47
2016,2016-05,4.74,4.74,3.43,3.43,1.43,1.43
2016,2016-06,6.5,6.5,5.99,5.99,1.38,1.38
2016,2016-07,5.62,5.62,5.31,5.31,0.49,0.49
2016,2016-08,6.49,6.49,6.32,6.32,0.58,0.58
2016,2016-09,5.96,5.96,5.67,5.67,1.49,1.49
2016,2016-10,4.49,4.49,4.24,4.24,0.71,0.71
2016,2016-11,3.15,3.15,0.32,0.32,-1.07,-1.07
2016,2016-12,3.65,3.65,0.75,0.75,-1.66,-1.66
2016,2017-01,3.84,3.84,0.04,0.04,-2.22,-2.22
2016,2017-02,2.9,2.9,0.31,0.31,-0.83,-0.83
2016,2017-03,2.7,2.7,0.19,0.19,1.17,1.17
2017,2017-04,3.52,3.52,2.58,2.58,1.33,1.33
2017,2017-05,4.71,4.71,3.5,3.5,1.92,1.92
2017,2017-06,5.45,5.45,4.9,4.9,1.74,1.74
2017,2017-07,5.96,5.96,5.63,5.63,0.96,0.96
2017,2017-08,5.94,5.94,5.68,5.68,0.89,0.89
2017,2017-09,4.87,4.87,3.82,3.82,2.16,2.16
2017,2017-10,4.18,4.18,3.48,3.48,0.79,0.79
2017,2017-11,4.07,4.07,0.65,0.65,-1.64,-1.64
2017,2017-12,3.65,3.65,-0.15,-0.15,-2.13,-2.13
2017,2018-01,3.85,3.85,-0.02,-0.02,-2.5,-2.5
2017,2018-02,2.85,2.85,0.42,0.42,-0.11,-0.11
2017,2018-03,2.66,2.66,0.26,0.26,0.75,0.75
2018,2018-04,2.68,2.68,-0.01,-0.01,1.38,1.38
2018,2018-05,4.64,4.64,2.97,2.97,2.59,2.59
2018,2018-06,6.1,6.1,5.56,5.56,2.07,2.07
2018,2018-07,5.76,5.76,5.55,5.55,0.58,0.58
2018,2018-08,5.48,5.48,5.32,5.32,0.52,0.52
2018,2018-09,4.29,4.29,3.74,3.74,1.29,1.29
2018,2018-10,3.2,3.2,1.3,1.3,-0.31,-0.31
2018,2018-11,3.11,3.11,0.27,0.27,-1.25,-1.25
2018,2018-12,3.6,3.6,-0.07,-0.07,-2.15,-2.15
2018,2019-01,4.22,4.22,0.02,0.02,-2.89,-2.89
2018,2019-02,2.74,2.74,0.36,0.36,-0.42,-0.42
2018,2019-03,3.05,3.05,0.93,0.93,1.31,1.31
2019,2019-04,3.23,3.23,1.29,1.29,1.79,1.79
2019,2019-05,4.69,4.69,3.25,3.25,2.97,2.97
2019,2019-06,5.8,5.8,4.99,4.99,2.3,2.3
2019,2019-07,5.38,5.38,4.44,4.44,1.93,1.93
2019,2019-08,5.29,5.29,4.22,4.22,2.4,2.4
2019,2019-09,4.18,4.18,2.51,2.51,2.53,2.53
2019,2019-10,3.12,3.12,0.22,0.22,0.82,0.82
2019,2019-11,2.38,2.38,0.28,0.28,0.23,0.23
2019,2019-12,2.49,2.49,-0.25,-0.25,-0.75,-0.75
2019,2020-01,3.28,3.28,0.28,0.28,-1.09,-1.09
2019,2020-02,3.29,3.29,1.2,1.2,0.63,0.63
2019,2020-03,3.25,3.25,1.4,1.4,1.25,1.25
2020,2020-04,2.85,2.85,0.5,0.5,1.22,1.22
2020,2020-05,4.62,4.62,3.64,3.64,1.66,1.66
2020,2020-06,5.32,5.32,4.82,4.82,1.12,1.12
2020,2020-07,4.87,4.87,4.14,4.14,1.4,1.4
2020,2020-08,4.89,4.89,4.51,4.51,1.29,1.29
2020,2020-09,5.15,5.15,4.64,4.64,1.83,1.83
2020,2020-10,5.22,5.22,5.0,5.0,0.38,0.38
