variable,order,seasonal_order,AIC,BIC,RMSE,MAE,MAPE,LjungBox_p12,residuals_ok
WindSpeed_max,"(1, 0, 2)","(0, 1, 1, 12)",176.96,229.72,0.5482,0.4066,12.33,0.0,False
WindSpeed_mean,"(1, 0, 2)","(0, 1, 1, 12)",176.96,229.72,0.5482,0.4066,12.33,0.0,False
EastWind_mean,"(2, 1, 2)","(0, 1, 1, 12)",299.87,370.7,0.8922,0.7022,499.15,0.0002,False
NorthWind_mean,"(1, 0, 1)","(0, 1, 1, 12)",186.11,229.86,0.6262,0.4578,102.4,0.3617,True
CurrentMag_max,"(0, 1, 1)","(0, 1, 1, 12)",-193.5,-226.07,0.1036,0.0711,74.34,0.7469,True
CurrentMag_mean,"(0, 1, 1)","(0, 1, 1, 12)",-193.5,-226.07,0.1036,0.0711,74.34,0.7469,True
UO_mean,"(0, 0, 0)","(0, 1, 1, 12)",-198.67,-228.75,0.1182,0.0902,242.71,0.1238,True
VO_mean,"(0, 0, 0)","(0, 1, 1, 12)",-307.17,-358.76,0.0745,0.0564,108.99,0.7826,True
ZOS_max,"(1, 1, 1)","(0, 1, 1, 12)",-464.48,-539.11,0.0665,0.0552,11.81,0.7074,True
ZOS_mean,"(1, 1, 1)","(0, 1, 1, 12)",-464.48,-539.11,0.0665,0.0552,11.81,0.7074,True
