monsoon_year,interval_label,Change_Class,annual_NSM,NSM_count
2013,2012-2013,eroded_low,-2.677923076923077,162
2014,2013-2014,eroded_high,-6.5023484848484845,164
2015,2014-2015,accreted_high,4.247187500000001,158
2016,2015-2016,eroded_low,-3.300930232558139,159
2017,2016-2017,accreted_low,3.7204580152671753,163
2018,2017-2018,accreted_low,1.8706923076923079,162
2019,2018-2019,eroded_high,-4.807674418604651,161
2020,2019-2020,eroded_high,-3.7609375000000007,160
2021,2020-2021,accreted_low,1.629166666666666,164
2022,2021-2022,accreted_low,1.7316793893129772,163
2023,2022-2023,stable,0.6068992248062008,161
2024,2023-2024,eroded_high,-6.90076923076923,162
