year,annual_NSM,NSM_median,NSM_std,NSM_min,NSM_max,NSM_count,EPR_mean,EPR_std,LRR_mean,SCE_max,Change_Class,Erosion_Binary
2010,-11.26,-11.26,,-11.26,-11.26,1,-0.78,,-0.42,32.11,eroded_high,1
2011,-28.241000000000003,-27.134999999999998,15.823710689974082,-50.38,4.4,20,-1.9465,1.0895352703162742,0.9875,88.76,eroded_high,1
2012,-6.75,-7.99,5.866945542614147,-12.59,3.12,5,-0.466,0.4025295020243858,0.496,30.32,eroded_high,1
2014,0.87,0.87,,0.87,0.87,1,0.06,,0.08,9.51,stable,0
2016,-0.5219999999999999,-1.22,2.905489631714421,-4.33,2.99,5,-0.033999999999999996,0.2021880312976018,0.396,21.62,stable,0
2017,5.15,5.15,0.1838477631085025,5.02,5.28,2,0.355,0.007071067811865481,0.30000000000000004,14.62,accreted_high,0
2018,-13.135000000000002,-13.135000000000002,20.682873349706515,-27.76,1.49,2,-0.9049999999999999,1.4212846301849604,0.41500000000000004,48.29,eroded_high,1
2019,-5.165,-4.0,3.947734230613246,-12.07,-0.59,10,-0.356,0.27199673200651187,-0.457,65.65,eroded_high,1
2020,-7.979333333333333,-8.36,6.850100590154723,-16.87,6.16,15,-0.5493333333333333,0.4713577147327656,-0.5519999999999999,57.97,eroded_high,1
2021,-15.008666666666667,-12.545,9.25772137501833,-34.54,-0.11,30,-1.034,0.6373576920271747,-0.537,58.45,eroded_high,1
2022,-18.55333333333333,-15.15,14.781981824730627,-36.18,3.08,6,-1.2766666666666666,1.0170086856397378,-0.2233333333333333,48.31,eroded_high,1
2023,-20.00046511627907,-20.675,12.355768160658616,-43.25,8.76,86,-1.3786046511627907,0.8518024664559649,0.19744186046511628,94.11,eroded_high,1
2024,7.0024999999999995,5.735,5.278644870292627,2.09,14.45,4,0.4825,0.3671852393547431,-0.055,24.11,accreted_high,0
