Date,Precipitation rate
1/1/2009,1.72E-08
2/1/2009,1.80E-08
3/1/2009,6.34E-08
4/1/2009,7.43E-08
5/1/2009,1.13E-07
6/1/2009,1.18E-07
7/1/2009,6.55E-08
8/1/2009,1.20E-07
9/1/2009,9.62E-08
10/1/2009,1.10E-07
11/1/2009,1.97E-07
12/1/2009,1.18E-07
1/1/2010,4.67E-08
2/1/2010,3.54E-08
3/1/2010,3.42E-08
4/1/2010,1.08E-07
5/1/2010,1.42E-07
6/1/2010,1.47E-07
7/1/2010,8.51E-08
8/1/2010,8.78E-08
9/1/2010,1.21E-07
10/1/2010,8.84E-08
11/1/2010,1.82E-07
12/1/2010,1.55E-07
1/1/2011,7.45E-08
2/1/2011,6.32E-08
3/1/2011,5.91E-08
4/1/2011,1.18E-07
5/1/2011,7.82E-08
6/1/2011,6.05E-08
7/1/2011,8.81E-08
8/1/2011,1.11E-07
9/1/2011,1.07E-07
10/1/2011,1.06E-07
11/1/2011,1.26E-07
12/1/2011,9.00E-08
1/1/2012,2.82E-08
2/1/2012,6.90E-08
3/1/2012,4.59E-08
4/1/2012,9.80E-08
5/1/2012,5.09E-08
6/1/2012,8.32E-08
7/1/2012,7.33E-08
8/1/2012,1.10E-07
9/1/2012,1.14E-07
10/1/2012,1.78E-07
11/1/2012,1.80E-07
12/1/2012,7.13E-08
1/1/2013,5.99E-08
2/1/2013,7.33E-08
3/1/2013,8.05E-08
4/1/2013,5.30E-08
5/1/2013,1.22E-07
6/1/2013,1.26E-07
7/1/2013,7.96E-08
8/1/2013,6.41E-08
9/1/2013,1.03E-07
10/1/2013,1.14E-07
11/1/2013,9.00E-08
12/1/2013,4.73E-08
1/1/2014,3.56E-08
2/1/2014,1.57E-08
3/1/2014,2.36E-08
4/1/2014,9.12E-08
5/1/2014,1.27E-07
6/1/2014,7.81E-08
7/1/2014,7.95E-08
8/1/2014,9.91E-08
9/1/2014,1.20E-07
10/1/2014,1.91E-07
11/1/2014,1.64E-07
12/1/2014,1.51E-07
1/1/2015,3.58E-08
2/1/2015,5.04E-08
3/1/2015,4.61E-08
4/1/2015,9.89E-08
5/1/2015,1.03E-07
6/1/2015,7.92E-08
7/1/2015,8.11E-08
8/1/2015,9.74E-08
9/1/2015,1.55E-07
10/1/2015,2.15E-07
11/1/2015,1.56E-07
12/1/2015,1.02E-07
1/1/2016,2.49E-08
2/1/2016,2.62E-08
3/1/2016,2.64E-08
4/1/2016,6.60E-08
5/1/2016,2.53E-07
6/1/2016,8.50E-08
7/1/2016,8.41E-08
8/1/2016,6.98E-08
9/1/2016,6.30E-08
10/1/2016,6.62E-08
11/1/2016,1.32E-07
12/1/2016,3.87E-08
1/1/2017,5.85E-08
2/1/2017,4.20E-08
3/1/2017,6.51E-08
4/1/2017,7.54E-08
5/1/2017,1.14E-07
6/1/2017,9.56E-08
7/1/2017,6.84E-08
8/1/2017,8.46E-08
9/1/2017,1.17E-07
10/1/2017,1.02E-07
11/1/2017,1.73E-07
12/1/2017,6.60E-08
1/1/2018,1.45E-08
2/1/2018,6.13E-08
3/1/2018,7.15E-08
4/1/2018,1.05E-07
5/1/2018,1.54E-07
6/1/2018,1.28E-07
7/1/2018,6.49E-08
8/1/2018,5.86E-08
9/1/2018,6.49E-08
10/1/2018,1.16E-07
11/1/2018,1.09E-07
12/1/2018,4.31E-08
1/1/2019,8.34E-08
2/1/2019,6.02E-08
3/1/2019,7.08E-08
4/1/2019,7.07E-08
5/1/2019,8.99E-08
6/1/2019,1.20E-07
7/1/2019,7.72E-08
8/1/2019,1.13E-07
9/1/2019,1.39E-07
10/1/2019,6.80E-08
11/1/2019,1.22E-07
12/1/2019,1.02E-07
1/1/2020,6.48E-08
2/1/2020,7.97E-08
3/1/2020,2.89E-08
4/1/2020,1.28E-07
5/1/2020,9.02E-08
6/1/2020,9.06E-08
7/1/2020,1.04E-07
8/1/2020,6.32E-08
9/1/2020,1.02E-07
10/1/2020,9.55E-08
11/1/2020,7.83E-08
12/1/2020,1.05E-07
1/1/2021,3.59E-08
2/1/2021,4.40E-08
3/1/2021,4.64E-08
4/1/2021,1.15E-07
5/1/2021,1.24E-07
6/1/2021,9.15E-08
7/1/2021,7.30E-08
8/1/2021,7.43E-08
9/1/2021,5.42E-08
10/1/2021,1.49E-07
11/1/2021,1.40E-07
12/1/2021,1.22E-07
1/1/2022,7.35E-08
2/1/2022,3.90E-08
3/1/2022,7.44E-08
4/1/2022,9.76E-08
5/1/2022,9.04E-08
6/1/2022,1.57E-07
7/1/2022,1.23E-07
8/1/2022,8.53E-08
9/1/2022,1.34E-07
10/1/2022,1.03E-07
11/1/2022,1.74E-07
12/1/2022,2.97E-08
1/1/2023,3.80E-08
2/1/2023,3.23E-08
3/1/2023,4.31E-08
4/1/2023,1.04E-07
5/1/2023,1.37E-07
6/1/2023,8.71E-08
7/1/2023,1.19E-07
8/1/2023,6.42E-08
9/1/2023,1.36E-07
10/1/2023,1.34E-07
11/1/2023,1.23E-07
12/1/2023,1.05E-07
1/1/2024,4.11E-08
2/1/2024,2.21E-08
3/1/2024,6.65E-08
4/1/2024,7.68E-08
5/1/2024,1.05E-07
6/1/2024,1.15E-07
7/1/2024,1.01E-07
8/1/2024,6.31E-08
9/1/2024,1.04E-07
10/1/2024,1.14E-07
11/1/2024,1.84E-07
12/1/2024,3.72E-08
1/1/2025,9.54E-08
2/1/2025,4.51E-08
3/1/2025,6.83E-08
4/1/2025,6.05E-08
5/1/2025,1.05E-07
6/1/2025,1.10E-07
7/1/2025,7.87E-08
8/1/2025,1.15E-07
9/1/2025,1.39E-07
10/1/2025,1.94E-07
11/1/2025,2.02E-07
12/1/2025,9.80E-08
