Date,Relative humidity
1/1/2009,76.96443
2/1/2009,75.624344
3/1/2009,81.241104
4/1/2009,81.05941
5/1/2009,86.900314
6/1/2009,86.47245
7/1/2009,85.389084
8/1/2009,86.04607
9/1/2009,85.125824
10/1/2009,82.820854
11/1/2009,84.79557
12/1/2009,83.94915
1/1/2010,79.49673
2/1/2010,80.376976
3/1/2010,79.4787
4/1/2010,83.86461
5/1/2010,86.024475
6/1/2010,86.07312
7/1/2010,86.04527
8/1/2010,86.065605
9/1/2010,85.702194
10/1/2010,83.391975
11/1/2010,84.49873
12/1/2010,83.47318
1/1/2011,82.78204
2/1/2011,82.65984
3/1/2011,82.14355
4/1/2011,83.40764
5/1/2011,85.262375
6/1/2011,84.58826
7/1/2011,86.18393
8/1/2011,84.529396
9/1/2011,82.86401
10/1/2011,82.65967
11/1/2011,83.24423
12/1/2011,80.45657
1/1/2012,78.43687
2/1/2012,82.02089
3/1/2012,79.975685
4/1/2012,83.39011
5/1/2012,80.33644
6/1/2012,86.08623
7/1/2012,84.79129
8/1/2012,84.68783
9/1/2012,84.473465
10/1/2012,83.77376
11/1/2012,82.08015
12/1/2012,83.08412
1/1/2013,79.90198
2/1/2013,81.60641
3/1/2013,82.10345
4/1/2013,81.04019
5/1/2013,85.40148
6/1/2013,86.752975
7/1/2013,85.19778
8/1/2013,85.23413
9/1/2013,85.23233
10/1/2013,85.28395
11/1/2013,81.56668
12/1/2013,80.4084
1/1/2014,79.951004
2/1/2014,77.09546
3/1/2014,76.36336
4/1/2014,82.56059
5/1/2014,83.7516
6/1/2014,85.80536
7/1/2014,85.70142
8/1/2014,84.90396
9/1/2014,85.852486
10/1/2014,85.724686
11/1/2014,84.1685
12/1/2014,84.132935
1/1/2015,79.67005
2/1/2015,79.99337
3/1/2015,79.86199
4/1/2015,81.3222
5/1/2015,85.28676
6/1/2015,83.91432
7/1/2015,83.26643
8/1/2015,85.1107
9/1/2015,85.88391
10/1/2015,84.60842
11/1/2015,84.49511
12/1/2015,83.23323
1/1/2016,79.91766
2/1/2016,79.53679
3/1/2016,79.424324
4/1/2016,81.96013
5/1/2016,85.44457
6/1/2016,85.40681
7/1/2016,85.284775
8/1/2016,84.845375
9/1/2016,84.43756
10/1/2016,83.54026
11/1/2016,83.04254
12/1/2016,80.084785
1/1/2017,78.47739
2/1/2017,77.77951
3/1/2017,81.538574
4/1/2017,83.72524
5/1/2017,84.56754
6/1/2017,86.147095
7/1/2017,83.791046
8/1/2017,84.86313
9/1/2017,85.42329
10/1/2017,86.218506
11/1/2017,83.483444
12/1/2017,81.32121
1/1/2018,77.683426
2/1/2018,81.76257
3/1/2018,81.789024
4/1/2018,83.57182
5/1/2018,84.986725
6/1/2018,85.78349
7/1/2018,86.12997
8/1/2018,87.190926
9/1/2018,83.19177
10/1/2018,84.66132
11/1/2018,83.37585
12/1/2018,81.30718
1/1/2019,79.15401
2/1/2019,81.38577
3/1/2019,79.79187
4/1/2019,81.19478
5/1/2019,84.10056
6/1/2019,83.99266
7/1/2019,82.911934
8/1/2019,86.12387
9/1/2019,85.35124
10/1/2019,85.012024
11/1/2019,83.8016
12/1/2019,83.19712
1/1/2020,78.70832
2/1/2020,78.92334
3/1/2020,78.064644
4/1/2020,81.16898
5/1/2020,84.860405
6/1/2020,83.49221
7/1/2020,84.341125
8/1/2020,84.51071
9/1/2020,85.980606
10/1/2020,83.75879
11/1/2020,82.14977
12/1/2020,81.662506
1/1/2021,82.36426
2/1/2021,79.7455
3/1/2021,80.13529
4/1/2021,82.02171
5/1/2021,83.39359
6/1/2021,84.167366
7/1/2021,84.825455
8/1/2021,85.33972
9/1/2021,84.54653
10/1/2021,84.14172
11/1/2021,84.23642
12/1/2021,81.19499
1/1/2022,80.8872
2/1/2022,78.59366
3/1/2022,80.98761
4/1/2022,83.22112
5/1/2022,86.25157
6/1/2022,84.358536
7/1/2022,84.30612
8/1/2022,85.46553
9/1/2022,84.10053
10/1/2022,85.788925
11/1/2022,81.860214
12/1/2022,82.14504
1/1/2023,79.95335
2/1/2023,82.15227
3/1/2023,82.25786
4/1/2023,82.398705
5/1/2023,84.39739
6/1/2023,86.389694
7/1/2023,85.31026
8/1/2023,84.246704
9/1/2023,86.5349
10/1/2023,85.95922
11/1/2023,85.057655
12/1/2023,84.31461
1/1/2024,80.93142
2/1/2024,80.40859
3/1/2024,79.372375
4/1/2024,82.52415
5/1/2024,86.34308
6/1/2024,86.16626
7/1/2024,84.36005
8/1/2024,83.58155
9/1/2024,84.04724
10/1/2024,84.67724
11/1/2024,83.97762
12/1/2024,81.05798
1/1/2025,84.00809
2/1/2025,79.513824
3/1/2025,80.978
4/1/2025,83.67519
5/1/2025,83.62126
6/1/2025,84.56486
7/1/2025,84.56691
8/1/2025,84.975815
9/1/2025,83.75258
10/1/2025,83.18648
11/1/2025,82.61098
12/1/2025,76.96443
