Date,Air temperature
1/1/2009,298.69098
2/1/2009,299.70657
3/1/2009,299.66962
4/1/2009,300.14917
5/1/2009,300.0416
6/1/2009,299.34164
7/1/2009,299.3398
8/1/2009,299.16705
9/1/2009,299.31522
10/1/2009,299.1901
11/1/2009,298.5394
12/1/2009,298.7475
1/1/2010,298.72803
2/1/2010,299.4792
3/1/2010,300.2585
4/1/2010,300.21616
5/1/2010,300.24435
6/1/2010,299.6608
7/1/2010,299.1723
8/1/2010,299.1212
9/1/2010,298.83917
10/1/2010,299.17422
11/1/2010,298.49707
12/1/2010,297.91348
1/1/2011,297.79355
2/1/2011,298.5729
3/1/2011,299.2306
4/1/2011,299.28873
5/1/2011,300.00104
6/1/2011,299.77014
7/1/2011,299.10883
8/1/2011,299.2411
9/1/2011,299.31525
10/1/2011,299.28
11/1/2011,298.87616
12/1/2011,298.43893
1/1/2012,298.40182
2/1/2012,298.959
3/1/2012,299.44925
4/1/2012,299.3804
5/1/2012,300.22147
6/1/2012,299.4739
7/1/2012,299.44382
8/1/2012,299.11594
9/1/2012,299.22177
10/1/2012,298.8974
11/1/2012,298.84796
12/1/2012,298.7087
1/1/2013,298.68396
2/1/2013,299.09482
3/1/2013,299.82303
4/1/2013,300.4401
5/1/2013,299.9834
6/1/2013,298.92554
7/1/2013,298.95895
8/1/2013,298.98718
9/1/2013,298.85858
10/1/2013,298.85156
11/1/2013,298.90085
12/1/2013,298.6364
1/1/2014,299.02597
2/1/2014,299.46506
3/1/2014,300.90207
4/1/2014,299.94464
5/1/2014,300.18265
6/1/2014,299.98526
7/1/2014,299.53552
8/1/2014,298.8744
9/1/2014,298.95023
10/1/2014,298.8057
11/1/2014,298.46887
12/1/2014,298.41425
1/1/2015,298.73157
2/1/2015,298.66458
3/1/2015,299.72778
4/1/2015,299.82474
5/1/2015,300.20908
6/1/2015,300.07166
7/1/2015,299.87582
8/1/2015,299.6819
9/1/2015,299.2958
10/1/2015,299.17773
11/1/2015,299.05426
12/1/2015,299.25177
1/1/2016,299.45096
2/1/2016,300.06454
3/1/2016,301.39926
4/1/2016,301.01666
5/1/2016,300.1086
6/1/2016,300.00287
7/1/2016,299.54434
8/1/2016,299.62546
9/1/2016,299.39456
10/1/2016,299.24475
11/1/2016,298.78976
12/1/2016,298.86914
1/1/2017,298.34717
2/1/2017,298.80563
3/1/2017,299.4457
4/1/2017,300.2338
5/1/2017,299.94287
6/1/2017,299.49683
7/1/2017,299.83704
8/1/2017,299.45267
9/1/2017,299.19357
10/1/2017,299.12485
11/1/2017,298.7968
12/1/2017,298.8092
1/1/2018,298.52173
2/1/2018,299.04718
3/1/2018,299.8089
4/1/2018,299.63254
5/1/2018,299.6202
6/1/2018,299.56735
7/1/2018,299.26398
8/1/2018,298.95193
9/1/2018,299.10367
10/1/2018,298.8022
11/1/2018,298.86206
12/1/2018,298.85504
1/1/2019,297.92755
2/1/2019,298.50943
3/1/2019,299.04547
4/1/2019,299.46683
5/1/2019,299.4633
6/1/2019,298.70163
7/1/2019,298.63455
8/1/2019,298.155
9/1/2019,298.33667
10/1/2019,298.744
11/1/2019,298.54294
12/1/2019,298.43893
1/1/2020,298.38596
2/1/2020,298.4054
3/1/2020,299.59558
4/1/2020,299.35397
5/1/2020,300.01694
6/1/2020,299.1636
7/1/2020,298.71567
8/1/2020,298.99957
9/1/2020,298.7951
10/1/2020,298.77927
11/1/2020,298.6399
12/1/2020,298.35077
1/1/2021,298.65573
2/1/2021,299.05954
3/1/2021,299.48804
4/1/2021,299.41922
5/1/2021,299.90408
6/1/2021,299.36108
7/1/2021,299.0348
8/1/2021,298.89023
9/1/2021,299.20767
10/1/2021,298.60117
11/1/2021,298.5359
12/1/2021,298.32608
1/1/2022,298.41064
2/1/2022,299.18472
3/1/2022,299.33817
4/1/2022,299.7983
5/1/2022,300.0099
6/1/2022,299.25
7/1/2022,299.1159
8/1/2022,299.26932
9/1/2022,298.89032
10/1/2022,298.96793
11/1/2022,298.45123
12/1/2022,298.68753
1/1/2023,298.96426
2/1/2023,299.04895
3/1/2023,299.75424
4/1/2023,299.9235
5/1/2023,299.63254
6/1/2023,299.31525
7/1/2023,298.76852
8/1/2023,299.36804
9/1/2023,298.75455
10/1/2023,298.70163
11/1/2023,298.55527
12/1/2023,298.27142
1/1/2024,298.7545
2/1/2024,299.47916
3/1/2024,299.81598
4/1/2024,299.82297
5/1/2024,300.01868
6/1/2024,299.67313
7/1/2024,298.95895
8/1/2024,299.43332
9/1/2024,299.10892
10/1/2024,298.87622
11/1/2024,298.17972
12/1/2024,298.38602
1/1/2025,298.1074
2/1/2025,298.99426
3/1/2025,299.3258
4/1/2025,300.00458
5/1/2025,299.7524
6/1/2025,299.60794
7/1/2025,299.16174
8/1/2025,299.01367
9/1/2025,299.05777
10/1/2025,298.8974
11/1/2025,298.55176
12/1/2025,298.3825
1/1/2026,298.55176
2/1/2026,298.3825
