Date,Zonal wind speed
1/1/2009,0.019316107
2/1/2009,0.7305625
3/1/2009,0.12460541
4/1/2009,1.5409203
5/1/2009,3.7138953
6/1/2009,4.128879
7/1/2009,3.7458878
8/1/2009,3.7118428
9/1/2009,4.0762367
10/1/2009,1.6911098
11/1/2009,0.07815635
12/1/2009,-0.014764577
1/1/2010,0.23503734
2/1/2010,0.019834124
3/1/2010,0.27017653
4/1/2010,0.81159735
5/1/2010,2.8710344
6/1/2010,3.8868103
7/1/2010,3.579696
8/1/2010,4.5650177
9/1/2010,3.192071
10/1/2010,3.7309349
11/1/2010,1.7742212
12/1/2010,1.2472087
1/1/2011,0.6092401
2/1/2011,0.54524857
3/1/2011,0.7171499
4/1/2011,1.4851775
5/1/2011,3.0867784
6/1/2011,3.951844
7/1/2011,3.9616442
8/1/2011,3.5167353
9/1/2011,3.3608608
10/1/2011,1.5594972
11/1/2011,0.33983913
12/1/2011,0.41724077
1/1/2012,0.23969759
2/1/2012,0.019308671
3/1/2012,0.4379163
4/1/2012,1.2730367
5/1/2012,3.6968675
6/1/2012,3.961131
7/1/2012,4.2011414
8/1/2012,3.329373
9/1/2012,2.9696217
10/1/2012,1.2549664
11/1/2012,0.60409474
12/1/2012,-0.24134746
1/1/2013,0.37594748
2/1/2013,0.054406356
3/1/2013,-0.4111461
4/1/2013,1.3783369
5/1/2013,3.579705
6/1/2013,4.554703
7/1/2013,4.223838
8/1/2013,3.7820258
9/1/2013,3.643189
10/1/2013,3.0294878
11/1/2013,0.21750265
12/1/2013,0.72485304
1/1/2014,0.38576216
2/1/2014,-0.001311988
3/1/2014,-0.3946064
4/1/2014,1.0418031
5/1/2014,2.4467669
6/1/2014,4.41947
7/1/2014,4.768369
8/1/2014,3.6571224
9/1/2014,3.1869118
10/1/2014,1.9641573
11/1/2014,0.8053933
12/1/2014,0.61285216
1/1/2015,0.48228604
2/1/2015,0.012607105
3/1/2015,-0.55928296
4/1/2015,0.29028577
5/1/2015,2.6563177
6/1/2015,3.207563
7/1/2015,4.2863097
8/1/2015,3.4646063
9/1/2015,2.5329564
10/1/2015,1.2456734
11/1/2015,0.8012701
12/1/2015,-0.44521198
1/1/2016,0.26344234
2/1/2016,-0.20932502
3/1/2016,0.12512125
4/1/2016,0.16228622
5/1/2016,2.7569695
6/1/2016,4.5402417
7/1/2016,3.995705
8/1/2016,4.59548
9/1/2016,4.350305
10/1/2016,3.1915674
11/1/2016,0.62319076
12/1/2016,0.80591357
1/1/2017,0.10240948
2/1/2017,0.33519205
3/1/2017,-0.18404979
4/1/2017,2.157205
5/1/2017,3.0016167
6/1/2017,3.7871916
7/1/2017,4.223859
8/1/2017,4.1856623
9/1/2017,3.0888507
10/1/2017,2.8653557
11/1/2017,1.0134039
12/1/2017,0.48021424
1/1/2018,0.33930868
2/1/2018,0.15609777
3/1/2018,-0.21191698
4/1/2018,-0.049336433
5/1/2018,2.4075384
6/1/2018,4.089142
7/1/2018,4.383834
8/1/2018,4.407571
9/1/2018,2.8746407
10/1/2018,1.4438816
11/1/2018,0.50345105
12/1/2018,0.38317925
1/1/2019,-0.07257523
2/1/2019,0.05750394
3/1/2019,0.34449095
4/1/2019,2.4385045
5/1/2019,3.35776
6/1/2019,4.4597483
7/1/2019,4.272367
8/1/2019,3.8362315
9/1/2019,3.0981357
10/1/2019,2.998008
11/1/2019,0.41725722
12/1/2019,0.6897623
1/1/2020,0.07090188
2/1/2020,-0.07875384
3/1/2020,0.85134774
4/1/2020,0.32280666
5/1/2020,3.70823
6/1/2020,4.2987022
7/1/2020,4.1712046
8/1/2020,4.19495
9/1/2020,3.5224109
10/1/2020,3.3314338
11/1/2020,1.3365197
12/1/2020,-0.26458523
1/1/2021,-0.003918245
2/1/2021,-0.21242085
3/1/2021,0.0962231
4/1/2021,-0.15876311
5/1/2021,2.9365823
6/1/2021,4.097914
7/1/2021,4.5273356
8/1/2021,3.9337733
9/1/2021,3.4114385
10/1/2021,2.0415812
11/1/2021,0.7057808
12/1/2021,-0.019413412
1/1/2022,-0.1520588
2/1/2022,-0.08441929
3/1/2022,-0.28366116
4/1/2022,-0.34250706
5/1/2022,3.5554488
6/1/2022,3.184861
7/1/2022,3.7035882
8/1/2022,4.2114706
9/1/2022,3.6710694
10/1/2022,2.6377308
11/1/2022,-0.87104493
12/1/2022,0.27995917
1/1/2023,0.29287016
2/1/2023,0.2190657
3/1/2023,0.45907292
4/1/2023,0.60617346
5/1/2023,3.8672113
6/1/2023,4.289923
7/1/2023,4.43755
8/1/2023,4.5041237
9/1/2023,2.9391685
10/1/2023,1.2720039
11/1/2023,-0.48135084
12/1/2023,0.09052363
1/1/2024,-0.17166652
2/1/2024,-0.023004785
3/1/2024,0.261393
4/1/2024,0.4487413
5/1/2024,2.7626474
6/1/2024,4.3678594
7/1/2024,4.0607467
8/1/2024,3.9074633
9/1/2024,3.9699104
10/1/2024,3.1193018
11/1/2024,1.6431062
12/1/2024,1.2472143
1/1/2025,-0.021993116
2/1/2025,0.3434544
3/1/2025,0.35893893
4/1/2025,2.1303623
5/1/2025,3.0816176
6/1/2025,3.7448719
7/1/2025,4.2604923
8/1/2025,3.213754
9/1/2025,2.8209713
10/1/2025,1.2663293
11/1/2025,-0.267667
12/1/2025,-0.0669058
1/1/2026,-0.267667
2/1/2026,-0.0669058
