date,wind_speed,fg10,tp,msl,vhm0,vtpk,vmdr,wave_energy,event_score,is_spike,spike_level,day
2026-03-07,17.0,22.7,0.0009,101030.0,1.9,7.55,245.1,3.607,21.76,False,NORMAL,1
2026-03-08,17.2,23.0,0.0005,101030.0,1.91,7.6,246.1,3.637,21.99,False,NORMAL,2
2026-03-09,17.7,24.5,0.0001,101060.0,1.87,8.01,248.7,3.513,22.66,False,NORMAL,3
2026-03-10,24.7,33.1,0.0009,101130.0,1.94,7.37,244.0,3.762,29.6,False,NORMAL,4
2026-03-11,21.1,27.7,0.0003,101080.0,1.9,7.54,247.0,3.607,25.72,False,NORMAL,5
2026-03-12,19.6,27.4,0.0,100970.0,1.82,8.79,245.8,3.307,24.53,False,NORMAL,6
2026-03-13,20.5,27.4,0.0006,100940.0,1.95,7.25,245.7,3.8,25.39,False,NORMAL,7
2026-03-14,18.3,24.5,0.0006,101020.0,2.01,7.42,245.6,4.032,23.35,False,NORMAL,8
2026-03-15,12.2,10.4,0.0009,101100.0,1.52,7.77,243.5,2.313,14.24,False,NORMAL,9
2026-03-16,13.8,16.6,0.0,101000.0,1.93,8.88,246.2,3.743,18.1,False,NORMAL,10
2026-03-17,18.4,18.0,0.0006,100910.0,2.07,7.19,246.1,4.287,21.62,False,NORMAL,11
2026-03-18,17.3,13.7,0.0,100940.0,1.76,8.77,245.5,3.09,18.88,False,NORMAL,12
2026-03-19,13.7,11.9,0.0012,101040.0,1.75,7.64,245.7,3.074,16.17,False,NORMAL,13
2026-03-20,14.8,14.8,0.0033,101020.0,2.1,7.64,245.6,4.416,18.57,False,NORMAL,14
2026-03-21,14.2,14.4,0.0009,100980.0,1.89,7.33,244.3,3.558,17.56,False,NORMAL,15
2026-03-22,18.8,20.5,0.0015,101070.0,2.13,7.62,245.1,4.535,22.75,False,NORMAL,16
2026-03-23,0.6,4.68,0.000108,100829.3,0.77,13.35,197.5,0.59,3.68,False,NORMAL,17
2026-03-24,0.82,4.05,-0.000234,100887.1,0.73,14.31,184.9,0.538,3.54,False,NORMAL,18
2026-03-25,1.72,3.97,0.000117,100900.6,0.79,13.51,192.4,0.617,4.19,False,NORMAL,19
2026-03-26,1.44,4.1,0.000343,100860.1,0.78,13.12,192.7,0.611,4.05,False,NORMAL,20
2026-03-27,1.65,4.33,0.000187,101026.8,0.79,13.59,192.8,0.625,4.27,False,NORMAL,21
2026-03-28,2.16,4.0,0.000364,100748.1,0.85,13.04,195.7,0.724,4.62,False,NORMAL,22
2026-03-29,0.35,4.49,0.000216,100914.5,0.78,13.39,192.4,0.603,3.5,False,NORMAL,23
2026-03-30,1.51,3.99,0.000219,101144.3,0.78,13.88,189.5,0.612,4.06,False,NORMAL,24
2026-03-31,0.91,3.01,5.1e-05,100985.0,0.76,13.44,188.8,0.581,3.36,False,NORMAL,25
2026-04-01,1.93,5.7,0.000243,100875.7,0.96,12.89,201.2,0.922,5.27,False,NORMAL,26
2026-04-02,1.71,3.86,0.000219,100818.5,0.83,12.9,194.0,0.69,4.26,False,NORMAL,27
2026-04-03,1.13,4.18,-7e-06,100822.2,0.8,14.39,188.3,0.632,3.92,False,NORMAL,28
2026-04-04,1.46,3.99,0.000119,100845.0,0.83,13.4,194.4,0.69,4.15,False,NORMAL,29
2026-04-05,0.35,5.63,3.8e-05,101128.3,0.91,13.93,200.8,0.835,4.18,False,NORMAL,30
