Date,2 metre temperature
1/1/2009,299.3681
2/1/2009,299.66522
3/1/2009,300.23846
4/1/2009,300.97284
5/1/2009,300.4379
6/1/2009,299.9196
7/1/2009,299.95728
8/1/2009,299.74756
9/1/2009,299.99677
10/1/2009,300.05762
11/1/2009,299.51434
12/1/2009,299.60168
1/1/2010,299.56445
2/1/2010,300.20703
3/1/2010,300.89386
4/1/2010,301.0169
5/1/2010,300.85583
6/1/2010,300.24
7/1/2010,299.8036
8/1/2010,299.72144
9/1/2010,299.53644
10/1/2010,299.89636
11/1/2010,299.39462
12/1/2010,298.9677
1/1/2011,298.69446
2/1/2011,299.2865
3/1/2011,300.03824
4/1/2011,300.1311
5/1/2011,300.43414
6/1/2011,300.48642
7/1/2011,299.7088
8/1/2011,299.8718
9/1/2011,300.13147
10/1/2011,299.98096
11/1/2011,299.72116
12/1/2011,299.47534
1/1/2012,299.18973
2/1/2012,299.58524
3/1/2012,300.32764
4/1/2012,300.38345
5/1/2012,300.93854
6/1/2012,300.02698
7/1/2012,300.0531
8/1/2012,299.86017
9/1/2012,299.91443
10/1/2012,299.78928
11/1/2012,299.73267
12/1/2012,299.47607
1/1/2013,299.62256
2/1/2013,299.84296
3/1/2013,300.54224
4/1/2013,301.34204
5/1/2013,300.6156
6/1/2013,299.57275
7/1/2013,299.613
8/1/2013,299.61636
9/1/2013,299.6478
10/1/2013,299.62292
11/1/2013,299.75702
12/1/2013,299.52313
1/1/2014,299.49594
2/1/2014,299.87152
3/1/2014,300.96918
4/1/2014,300.7397
5/1/2014,300.82544
6/1/2014,300.68674
7/1/2014,300.13287
8/1/2014,299.61908
9/1/2014,299.56754
10/1/2014,299.5182
11/1/2014,299.5086
12/1/2014,299.2832
1/1/2015,299.44244
2/1/2015,299.54163
3/1/2015,300.38672
4/1/2015,300.74432
5/1/2015,300.79193
6/1/2015,300.7713
7/1/2015,300.51074
8/1/2015,300.21252
9/1/2015,299.9129
10/1/2015,299.95218
11/1/2015,299.8722
12/1/2015,300.02588
1/1/2016,300.24457
2/1/2016,300.55014
3/1/2016,301.29343
4/1/2016,301.7132
5/1/2016,300.94415
6/1/2016,300.47968
7/1/2016,300.00967
8/1/2016,300.1043
9/1/2016,299.89594
10/1/2016,300.01727
11/1/2016,299.64966
12/1/2016,299.7683
1/1/2017,299.3368
2/1/2017,299.62598
3/1/2017,300.3109
4/1/2017,301.0411
5/1/2017,300.79132
6/1/2017,300.14746
7/1/2017,300.55658
8/1/2017,300.12967
9/1/2017,299.94708
10/1/2017,299.89374
11/1/2017,299.7551
12/1/2017,299.70612
1/1/2018,299.421
2/1/2018,299.6197
3/1/2018,300.41486
4/1/2018,300.5327
5/1/2018,300.44525
6/1/2018,300.06207
7/1/2018,299.7694
8/1/2018,299.44644
9/1/2018,299.85577
10/1/2018,299.63556
11/1/2018,299.7383
12/1/2018,299.75208
1/1/2019,299.64014
2/1/2019,300.21127
3/1/2019,300.67795
4/1/2019,301.13828
5/1/2019,300.9516
6/1/2019,301.08215
7/1/2019,300.60962
8/1/2019,299.8778
9/1/2019,299.7074
10/1/2019,299.4588
11/1/2019,299.88342
12/1/2019,299.87262
1/1/2020,300.33777
2/1/2020,300.5138
3/1/2020,300.98288
4/1/2020,301.1397
5/1/2020,301.1387
6/1/2020,300.9111
7/1/2020,300.28442
8/1/2020,300.16125
9/1/2020,299.70755
10/1/2020,300.2354
11/1/2020,300.1742
12/1/2020,299.80884
1/1/2021,299.52667
2/1/2021,299.99817
3/1/2021,300.26636
4/1/2021,300.7928
5/1/2021,300.91046
6/1/2021,300.4513
7/1/2021,300.21725
8/1/2021,299.82727
9/1/2021,300.11792
10/1/2021,300.08447
11/1/2021,299.77606
12/1/2021,299.8971
1/1/2022,299.76443
2/1/2022,300.16464
3/1/2022,300.6665
4/1/2022,300.56125
5/1/2022,300.54346
6/1/2022,300.29184
7/1/2022,300.12952
8/1/2022,299.67285
9/1/2022,299.8615
10/1/2022,299.53058
11/1/2022,299.7151
12/1/2022,299.42294
1/1/2023,299.17676
2/1/2023,299.5596
3/1/2023,300.27777
4/1/2023,300.80203
5/1/2023,301.11594
6/1/2023,300.58478
7/1/2023,300.4594
8/1/2023,300.63
9/1/2023,299.80328
10/1/2023,299.63864
11/1/2023,299.8667
12/1/2023,300.18066
1/1/2024,300.17853
2/1/2024,300.91223
3/1/2024,301.18402
4/1/2024,301.67816
5/1/2024,301.11005
6/1/2024,300.63364
7/1/2024,300.79443
8/1/2024,300.479
9/1/2024,300.63635
10/1/2024,300.21326
11/1/2024,299.93896
12/1/2024,300.26416
1/1/2025,299.26236
2/1/2025,300.23193
3/1/2025,300.61276
4/1/2025,300.77216
5/1/2025,301.26074
6/1/2025,300.68292
7/1/2025,300.3838
8/1/2025,300.01337
9/1/2025,300.37225
10/1/2025,300.19766
11/1/2025,299.7827
12/1/2025,299.3681
