datetime,VHM0,VMDR
2023-01-01 00:00:00,0.78,191.71
2023-01-01 03:00:00,0.69,189.54
2023-01-01 06:00:00,0.62,190.8
2023-01-01 09:00:00,0.65999997,194.22
2023-01-01 12:00:00,0.75,202.38
2023-01-01 15:00:00,0.81,217.19
2023-01-01 18:00:00,0.81,221.56999
2023-01-01 21:00:00,0.79999995,217.48
2023-01-02 00:00:00,0.72999996,212.23
2023-01-02 03:00:00,0.69,204.84
2023-01-02 06:00:00,0.65999997,198.24
2023-01-02 09:00:00,0.62,197.96
2023-01-02 12:00:00,0.62,196.58
2023-01-02 15:00:00,0.64,197.13
2023-01-02 18:00:00,0.65999997,196.33
2023-01-02 21:00:00,0.59,202.27
2023-01-03 00:00:00,0.65,203.45
2023-01-03 03:00:00,0.71,203.77
2023-01-03 06:00:00,0.76,204.97
2023-01-03 09:00:00,0.78999996,206.49
2023-01-03 12:00:00,0.84,212.15
2023-01-03 15:00:00,0.88,224.42
2023-01-03 18:00:00,0.94,234.63
2023-01-03 21:00:00,0.94,233.7
2023-01-04 00:00:00,0.85999995,228.7
2023-01-04 03:00:00,0.81,210.54
2023-01-04 06:00:00,0.74,201.01
2023-01-04 09:00:00,0.72999996,201.09
2023-01-04 12:00:00,0.72999996,208.81
2023-01-04 15:00:00,0.78,220.28
2023-01-04 18:00:00,0.84,234.83
2023-01-04 21:00:00,0.85999995,239.94
2023-01-05 00:00:00,0.82,231.73
2023-01-05 03:00:00,0.77,218.78
2023-01-05 06:00:00,0.74,210.08
2023-01-05 09:00:00,0.72999996,207.77
2023-01-05 12:00:00,0.75,216.66
2023-01-05 15:00:00,0.79999995,245.45999
2023-01-05 18:00:00,0.85999995,287.66998
2023-01-05 21:00:00,1.03,289.08
2023-01-06 00:00:00,0.87,282.74
2023-01-06 03:00:00,0.88,247.11
2023-01-06 06:00:00,0.79999995,223.39
2023-01-06 09:00:00,0.75,219.04
2023-01-06 12:00:00,0.78,224.72
2023-01-06 15:00:00,0.81,229.04
2023-01-06 18:00:00,0.84,228.37
2023-01-06 21:00:00,0.78,243.58
2023-01-07 00:00:00,0.78999996,247.95
2023-01-07 03:00:00,0.77,232.94
2023-01-07 06:00:00,0.78,219.56
2023-01-07 09:00:00,0.83,211.76
2023-01-07 12:00:00,0.88,213.14
2023-01-07 15:00:00,0.91999996,220.89
2023-01-07 18:00:00,0.95,224.59
